setting_name,split_label,split_seed,model_name,pooling,layer,n_stored,n_probe,decision_noise_std,corruption_mode,noise_std,max_shift,occlusion_frac,mean_pairwise_cosine_similarity,mean_pairwise_cosine_distance,pairwise_cosine_similarity_std,pairwise_cosine_distance_std,ident_accuracy,gen_accuracy
occ50_dnoise001_s40,stored_40_seed_1,1,vit_base_patch16_224,cls,layer_2,40,80,0.01,occlusion,5.0,2,0.5,0.9969202573288691,0.003079742671130898,0.0012413207947665388,0.0012413207947665388,5.0,1.25
occ50_dnoise001_s40,stored_40_seed_1,1,vit_base_patch16_224,cls,layer_3,40,80,0.01,occlusion,5.0,2,0.5,0.9932528338373692,0.006747166162630905,0.002091790453760135,0.002091790453760135,10.0,0.0
occ50_dnoise001_s40,stored_40_seed_1,1,vit_base_patch16_224,cls,layer_4,40,80,0.01,occlusion,5.0,2,0.5,0.9841937517896671,0.015806248210332993,0.005490323759346397,0.005490323759346397,20.0,1.25
occ50_dnoise001_s40,stored_40_seed_1,1,vit_base_patch16_224,cls,layer_5,40,80,0.01,occlusion,5.0,2,0.5,0.9636924544790438,0.03630754552095611,0.010044953409934512,0.010044953409934512,62.5,6.25
occ50_dnoise001_s40,stored_40_seed_1,1,vit_base_patch16_224,cls,layer_6,40,80,0.01,occlusion,5.0,2,0.5,0.9367296757343165,0.06327032426568337,0.01680557074116219,0.01680557074116219,72.5,12.5
occ50_dnoise001_s40,stored_40_seed_1,1,vit_base_patch16_224,cls,layer_7,40,80,0.01,occlusion,5.0,2,0.5,0.9484413892988041,0.051558610701196016,0.011258182568871932,0.011258182568871932,52.5,8.75
occ50_dnoise001_s40,stored_40_seed_1,1,vit_base_patch16_224,cls,layer_8,40,80,0.01,occlusion,5.0,2,0.5,0.9534901063596959,0.04650989364030417,0.008714797560528943,0.008714797560528943,50.0,10.0
occ50_dnoise001_s40,stored_40_seed_1,1,vit_base_patch16_224,cls,layer_9,40,80,0.01,occlusion,5.0,2,0.5,0.9472651272726123,0.05273487272738768,0.0096272699888377,0.0096272699888377,50.0,16.25
occ50_dnoise001_s40,stored_40_seed_1,1,vit_base_patch16_224,cls,layer_10,40,80,0.01,occlusion,5.0,2,0.5,0.8610398132536489,0.13896018674635102,0.034323659758497306,0.034323659758497306,72.5,41.25
occ50_dnoise001_s40,stored_40_seed_1,1,vit_base_patch16_224,cls,layer_11,40,80,0.01,occlusion,5.0,2,0.5,0.8842113597851722,0.11578864021482779,0.0240195117477129,0.0240195117477129,90.0,42.5
occ50_dnoise001_s40,stored_40_seed_1,1,vit_base_patch16_clip_224.openai,cls,layer_0,40,80,0.01,occlusion,5.0,2,0.5,0.9952143538253868,0.004785646174613173,0.0028306854379171933,0.0028306854379171937,7.5,1.25
occ50_dnoise001_s40,stored_40_seed_1,1,vit_base_patch16_clip_224.openai,cls,layer_1,40,80,0.01,occlusion,5.0,2,0.5,0.995398639642796,0.004601360357203908,0.0018773437920691202,0.0018773437920691202,5.0,1.25
occ50_dnoise001_s40,stored_40_seed_1,1,vit_base_patch16_clip_224.openai,cls,layer_2,40,80,0.01,occlusion,5.0,2,0.5,0.9878962441144326,0.012103755885567575,0.004721356246728204,0.004721356246728204,12.5,1.25
occ50_dnoise001_s40,stored_40_seed_1,1,vit_base_patch16_clip_224.openai,cls,layer_3,40,80,0.01,occlusion,5.0,2,0.5,0.9776096599322736,0.022390340067726278,0.007557105978850791,0.007557105978850792,27.500000000000004,1.25
occ50_dnoise001_s40,stored_40_seed_1,1,vit_base_patch16_clip_224.openai,cls,layer_4,40,80,0.01,occlusion,5.0,2,0.5,0.9529638831646139,0.04703611683538616,0.016598657260028182,0.016598657260028182,82.5,3.75
occ50_dnoise001_s40,stored_40_seed_1,1,vit_base_patch16_clip_224.openai,cls,layer_5,40,80,0.01,occlusion,5.0,2,0.5,0.9191023662793374,0.08089763372066251,0.025095138291507012,0.025095138291507012,97.5,2.5
occ50_dnoise001_s40,stored_40_seed_1,1,vit_base_patch16_clip_224.openai,cls,layer_6,40,80,0.01,occlusion,5.0,2,0.5,0.9000817984195031,0.09991820158049686,0.02777890267423892,0.02777890267423892,100.0,3.75
occ50_dnoise001_s40,stored_40_seed_1,1,vit_base_patch16_clip_224.openai,cls,layer_7,40,80,0.01,occlusion,5.0,2,0.5,0.9128534587712356,0.0871465412287644,0.02088148392180366,0.02088148392180366,95.0,3.75
occ50_dnoise001_s40,stored_40_seed_1,1,vit_base_patch16_clip_224.openai,cls,layer_8,40,80,0.01,occlusion,5.0,2,0.5,0.936643972966197,0.06335602703380304,0.01576200393322116,0.01576200393322116,85.0,5.0
occ50_dnoise001_s40,stored_40_seed_1,1,vit_base_patch16_clip_224.openai,cls,layer_9,40,80,0.01,occlusion,5.0,2,0.5,0.9472746534390193,0.05272534656098073,0.011650117139627233,0.011650117139627233,57.49999999999999,6.25
occ50_dnoise001_s40,stored_40_seed_1,1,vit_base_patch16_clip_224.openai,cls,layer_10,40,80,0.01,occlusion,5.0,2,0.5,0.8782239223188705,0.12177607768112947,0.030906888184789368,0.030906888184789368,50.0,15.0
occ50_dnoise001_s40,stored_40_seed_1,1,vit_base_patch16_clip_224.openai,cls,layer_11,40,80,0.01,occlusion,5.0,2,0.5,0.55194655470282,0.44805344529718005,0.0844986654614775,0.0844986654614775,60.0,46.25
occ50_dnoise001_s40,stored_40_seed_2,2,vit_base_patch16_224,cls,layer_0,40,80,0.01,occlusion,5.0,2,0.5,0.9997051856372743,0.0002948143627257058,0.00023065131868093362,0.00023065131868093362,2.5,3.75
occ50_dnoise001_s40,stored_40_seed_2,2,vit_base_patch16_224,cls,layer_1,40,80,0.01,occlusion,5.0,2,0.5,0.9977173979945618,0.002282602005438203,0.0010888761306525,0.0010888761306525,5.0,3.75
occ50_dnoise001_s40,stored_40_seed_2,2,vit_base_patch16_224,cls,layer_2,40,80,0.01,occlusion,5.0,2,0.5,0.9970242559663354,0.002975744033664622,0.0011340835836740218,0.0011340835836740218,5.0,3.75
occ50_dnoise001_s40,stored_40_seed_2,2,vit_base_patch16_224,cls,layer_3,40,80,0.01,occlusion,5.0,2,0.5,0.9933580132089086,0.006641986791091351,0.0020410647494056647,0.0020410647494056647,10.0,3.75
occ50_dnoise001_s40,stored_40_seed_2,2,vit_base_patch16_224,cls,layer_4,40,80,0.01,occlusion,5.0,2,0.5,0.9842460691870889,0.01575393081291099,0.0052585564094045625,0.0052585564094045625,20.0,3.75
occ50_dnoise001_s40,stored_40_seed_2,2,vit_base_patch16_224,cls,layer_5,40,80,0.01,occlusion,5.0,2,0.5,0.9643967173271153,0.03560328267288468,0.009325293061162091,0.009325293061162091,55.00000000000001,3.75
occ50_dnoise001_s40,stored_40_seed_2,2,vit_base_patch16_224,cls,layer_6,40,80,0.01,occlusion,5.0,2,0.5,0.9355765488692247,0.06442345113077538,0.016738657395431403,0.016738657395431403,75.0,8.75
occ50_dnoise001_s40,stored_40_seed_2,2,vit_base_patch16_224,cls,layer_7,40,80,0.01,occlusion,5.0,2,0.5,0.9485592328801125,0.051440767119887584,0.011512511993408357,0.011512511993408357,57.49999999999999,7.5
occ50_dnoise001_s40,stored_40_seed_2,2,vit_base_patch16_224,cls,layer_8,40,80,0.01,occlusion,5.0,2,0.5,0.9539464076530599,0.04605359234694011,0.008420772585327927,0.008420772585327927,50.0,8.75
occ50_dnoise001_s40,stored_40_seed_2,2,vit_base_patch16_224,cls,layer_9,40,80,0.01,occlusion,5.0,2,0.5,0.9477218166790478,0.05227818332095217,0.009129429979269337,0.009129429979269337,50.0,20.0
occ50_dnoise001_s40,stored_40_seed_2,2,vit_base_patch16_224,cls,layer_10,40,80,0.01,occlusion,5.0,2,0.5,0.860716559464321,0.1392834405356789,0.034224864335409944,0.03422486433540994,75.0,45.0
occ50_dnoise001_s40,stored_40_seed_2,2,vit_base_patch16_224,cls,layer_11,40,80,0.01,occlusion,5.0,2,0.5,0.8848283074701401,0.11517169252985988,0.024178822429967748,0.024178822429967748,82.5,42.5
occ50_dnoise001_s40,stored_40_seed_2,2,vit_base_patch16_clip_224.openai,cls,layer_0,40,80,0.01,occlusion,5.0,2,0.5,0.9956400092445538,0.004359990755446135,0.0025597635644940215,0.002559763564494022,5.0,3.75
occ50_dnoise001_s40,stored_40_seed_2,2,vit_base_patch16_clip_224.openai,cls,layer_1,40,80,0.01,occlusion,5.0,2,0.5,0.9956342879545911,0.004365712045409083,0.001764480335526451,0.001764480335526451,7.5,3.75
occ50_dnoise001_s40,stored_40_seed_2,2,vit_base_patch16_clip_224.openai,cls,layer_2,40,80,0.01,occlusion,5.0,2,0.5,0.9877090985303685,0.012290901469631566,0.004956725009946585,0.004956725009946585,15.0,3.75
occ50_dnoise001_s40,stored_40_seed_2,2,vit_base_patch16_clip_224.openai,cls,layer_3,40,80,0.01,occlusion,5.0,2,0.5,0.9769339472497379,0.023066052750262085,0.007991727675044275,0.007991727675044275,30.0,2.5
occ50_dnoise001_s40,stored_40_seed_2,2,vit_base_patch16_clip_224.openai,cls,layer_4,40,80,0.01,occlusion,5.0,2,0.5,0.9508346474909153,0.04916535250908465,0.01696762459202342,0.01696762459202342,75.0,3.75
occ50_dnoise001_s40,stored_40_seed_2,2,vit_base_patch16_clip_224.openai,cls,layer_5,40,80,0.01,occlusion,5.0,2,0.5,0.914833019788159,0.085166980211841,0.025274423603351432,0.025274423603351432,90.0,3.75
occ50_dnoise001_s40,stored_40_seed_2,2,vit_base_patch16_clip_224.openai,cls,layer_6,40,80,0.01,occlusion,5.0,2,0.5,0.8985755594540298,0.10142444054597025,0.025031782473585184,0.025031782473585184,97.5,6.25
occ50_dnoise001_s40,stored_40_seed_2,2,vit_base_patch16_clip_224.openai,cls,layer_7,40,80,0.01,occlusion,5.0,2,0.5,0.9124802037595242,0.08751979624047583,0.01904498025339236,0.01904498025339236,90.0,3.75
occ50_dnoise001_s40,stored_40_seed_2,2,vit_base_patch16_clip_224.openai,cls,layer_8,40,80,0.01,occlusion,5.0,2,0.5,0.9383858916498269,0.06161410835017308,0.01367939215191608,0.013679392151916082,72.5,1.25
occ50_dnoise001_s40,stored_40_seed_2,2,vit_base_patch16_clip_224.openai,cls,layer_9,40,80,0.01,occlusion,5.0,2,0.5,0.9499292288584597,0.050070771141540266,0.009932181105219035,0.009932181105219035,45.0,3.75
occ50_dnoise001_s40,stored_40_seed_2,2,vit_base_patch16_clip_224.openai,cls,layer_10,40,80,0.01,occlusion,5.0,2,0.5,0.8859589891898073,0.11404101081019273,0.02681589958032486,0.02681589958032486,42.5,16.25
occ50_dnoise001_s40,stored_40_seed_2,2,vit_base_patch16_clip_224.openai,cls,layer_11,40,80,0.01,occlusion,5.0,2,0.5,0.5569021019988195,0.4430978980011806,0.08118771098318371,0.08118771098318371,57.49999999999999,52.5
occ50_dnoise001_s40,stored_40_seed_3,3,vit_base_patch16_224,cls,layer_0,40,80,0.01,occlusion,5.0,2,0.5,0.999741103677423,0.00025889632257698937,0.00017136763601736008,0.00017136763601736008,0.0,2.5
