kind,setting_name,model_name,dam_n,distance_rank,layer,mean_pairwise_cosine_distance_mean,gen_accuracy_mean,ident_accuracy_mean
baseline,occ50_dnoise001_s40,vit_base_patch16_clip_224.openai,,5,layer_9,0.05194604199636976,7.75,44.0
baseline,occ50_dnoise001_s40,vit_base_patch16_clip_224.openai,,6,layer_8,0.06262455669869482,4.75,72.0
baseline,occ50_dnoise001_s40,vit_base_patch16_clip_224.openai,,7,layer_5,0.08159764556042544,3.75,92.5
baseline,occ50_dnoise001_s40,vit_base_patch16_clip_224.openai,,8,layer_7,0.08776422503840206,5.0,92.0
baseline,occ50_dnoise001_s40,vit_base_patch16_clip_224.openai,,9,layer_6,0.0994009790013222,5.0,98.0
baseline,occ50_dnoise001_s40,vit_base_patch16_clip_224.openai,,10,layer_10,0.11812635938697931,21.0,38.0
baseline,occ50_dnoise001_s40,vit_base_patch16_clip_224.openai,,11,layer_11,0.44581541515747575,54.0,57.5
dam,occ50_dnoise001_s40,vit_base_patch16_224,2,0,layer_0,0.0002809476908081568,4.75,10.0
dam,occ50_dnoise001_s40,vit_base_patch16_224,2,1,layer_1,0.0022110159060332577,6.0,18.5
dam,occ50_dnoise001_s40,vit_base_patch16_224,2,2,layer_2,0.002917230833770506,6.75,28.0
dam,occ50_dnoise001_s40,vit_base_patch16_224,2,3,layer_3,0.0065206959032190984,9.5,75.5
dam,occ50_dnoise001_s40,vit_base_patch16_224,2,4,layer_4,0.015447867490615965,11.25,97.0
dam,occ50_dnoise001_s40,vit_base_patch16_224,2,5,layer_5,0.035394985280389354,13.75,100.0
dam,occ50_dnoise001_s40,vit_base_patch16_224,2,6,layer_8,0.045687142764418556,31.5,97.5
dam,occ50_dnoise001_s40,vit_base_patch16_224,2,7,layer_7,0.05101449428640962,19.25,99.0
dam,occ50_dnoise001_s40,vit_base_patch16_224,2,8,layer_9,0.05207220590062382,44.25,98.0
dam,occ50_dnoise001_s40,vit_base_patch16_224,2,9,layer_6,0.06312134461538547,14.75,99.5
dam,occ50_dnoise001_s40,vit_base_patch16_224,2,10,layer_11,0.11712726963719096,55.0,96.0
dam,occ50_dnoise001_s40,vit_base_patch16_224,2,11,layer_10,0.143420422621662,56.0,99.0
dam,occ50_dnoise001_s40,vit_base_patch16_224,4,0,layer_0,0.0002809476908081568,4.75,10.0
dam,occ50_dnoise001_s40,vit_base_patch16_224,4,1,layer_1,0.0022110159060332577,7.0,18.0
dam,occ50_dnoise001_s40,vit_base_patch16_224,4,2,layer_2,0.002917230833770506,6.0,27.5
dam,occ50_dnoise001_s40,vit_base_patch16_224,4,3,layer_3,0.0065206959032190984,10.0,75.5
dam,occ50_dnoise001_s40,vit_base_patch16_224,4,4,layer_4,0.015447867490615965,10.5,97.5
dam,occ50_dnoise001_s40,vit_base_patch16_224,4,5,layer_5,0.035394985280389354,13.25,100.0
dam,occ50_dnoise001_s40,vit_base_patch16_224,4,6,layer_8,0.045687142764418556,31.5,97.5
dam,occ50_dnoise001_s40,vit_base_patch16_224,4,7,layer_7,0.05101449428640962,19.5,99.0
dam,occ50_dnoise001_s40,vit_base_patch16_224,4,8,layer_9,0.05207220590062382,44.75,98.0
dam,occ50_dnoise001_s40,vit_base_patch16_224,4,9,layer_6,0.06312134461538547,14.75,99.5
dam,occ50_dnoise001_s40,vit_base_patch16_224,4,10,layer_11,0.11712726963719096,55.25,96.0
dam,occ50_dnoise001_s40,vit_base_patch16_224,4,11,layer_10,0.143420422621662,57.0,98.5
dam,occ50_dnoise001_s40,vit_base_patch16_224,6,0,layer_0,0.0002809476908081568,4.75,10.0
dam,occ50_dnoise001_s40,vit_base_patch16_224,6,1,layer_1,0.0022110159060332577,6.0,18.5
dam,occ50_dnoise001_s40,vit_base_patch16_224,6,2,layer_2,0.002917230833770506,6.25,27.5
dam,occ50_dnoise001_s40,vit_base_patch16_224,6,3,layer_3,0.0065206959032190984,9.75,74.0
dam,occ50_dnoise001_s40,vit_base_patch16_224,6,4,layer_4,0.015447867490615965,10.75,97.0
dam,occ50_dnoise001_s40,vit_base_patch16_224,6,5,layer_5,0.035394985280389354,12.75,100.0
dam,occ50_dnoise001_s40,vit_base_patch16_224,6,6,layer_8,0.045687142764418556,31.75,98.5
dam,occ50_dnoise001_s40,vit_base_patch16_224,6,7,layer_7,0.05101449428640962,18.5,99.0
dam,occ50_dnoise001_s40,vit_base_patch16_224,6,8,layer_9,0.05207220590062382,44.75,97.0
dam,occ50_dnoise001_s40,vit_base_patch16_224,6,9,layer_6,0.06312134461538547,14.5,99.5
dam,occ50_dnoise001_s40,vit_base_patch16_224,6,10,layer_11,0.11712726963719096,55.5,96.0
dam,occ50_dnoise001_s40,vit_base_patch16_224,6,11,layer_10,0.143420422621662,56.75,98.5
dam,occ50_dnoise001_s40,vit_base_patch16_224,8,0,layer_0,0.0002809476908081568,5.0,9.0
dam,occ50_dnoise001_s40,vit_base_patch16_224,8,1,layer_1,0.0022110159060332577,6.25,18.5
dam,occ50_dnoise001_s40,vit_base_patch16_224,8,2,layer_2,0.002917230833770506,6.25,27.5
dam,occ50_dnoise001_s40,vit_base_patch16_224,8,3,layer_3,0.0065206959032190984,9.5,75.0
dam,occ50_dnoise001_s40,vit_base_patch16_224,8,4,layer_4,0.015447867490615965,11.25,97.0
dam,occ50_dnoise001_s40,vit_base_patch16_224,8,5,layer_5,0.035394985280389354,13.75,100.0
dam,occ50_dnoise001_s40,vit_base_patch16_224,8,6,layer_8,0.045687142764418556,31.5,97.5
dam,occ50_dnoise001_s40,vit_base_patch16_224,8,7,layer_7,0.05101449428640962,19.5,99.0
dam,occ50_dnoise001_s40,vit_base_patch16_224,8,8,layer_9,0.05207220590062382,45.0,98.0
dam,occ50_dnoise001_s40,vit_base_patch16_224,8,9,layer_6,0.06312134461538547,15.0,99.5
dam,occ50_dnoise001_s40,vit_base_patch16_224,8,10,layer_11,0.11712726963719096,55.75,96.0
dam,occ50_dnoise001_s40,vit_base_patch16_224,8,11,layer_10,0.143420422621662,56.5,99.0
dam,occ50_dnoise001_s40,vit_base_patch16_clip_224.openai,2,0,layer_0,0.004249250804563313,7.75,6.5
dam,occ50_dnoise001_s40,vit_base_patch16_clip_224.openai,2,1,layer_1,0.004316388912321263,8.5,22.0
dam,occ50_dnoise001_s40,vit_base_patch16_clip_224.openai,2,2,layer_2,0.011764694230573752,8.25,67.0
dam,occ50_dnoise001_s40,vit_base_patch16_clip_224.openai,2,3,layer_3,0.022406191430571175,8.25,93.0
dam,occ50_dnoise001_s40,vit_base_patch16_clip_224.openai,2,4,layer_4,0.04696781312528442,9.0,99.5
dam,occ50_dnoise001_s40,vit_base_patch16_clip_224.openai,2,5,layer_9,0.05194604199636976,16.5,60.0
dam,occ50_dnoise001_s40,vit_base_patch16_clip_224.openai,2,6,layer_8,0.06262455669869482,9.5,92.5
dam,occ50_dnoise001_s40,vit_base_patch16_clip_224.openai,2,7,layer_5,0.08159764556042544,7.75,100.0
dam,occ50_dnoise001_s40,vit_base_patch16_clip_224.openai,2,8,layer_7,0.08776422503840206,6.75,100.0
