model_name,seed,metric,preprocess_mode,task_mode,pooling,n_per_color,run_n_per_color,n_stored_per_color,square_size,ident_noise_std,ident_max_shift,ident_occlusion_frac,ident_decision_noise_std,color_only_jitter_std,layer,ident_accuracy,ident_avg_target_sim,ident_avg_best_wrong_sim,ident_avg_margin,gen_accuracy,gen_avg_target_sim,gen_avg_best_wrong_sim,gen_avg_margin,avg_margin
vit_base_patch16_224,0,cosine,l2_only,mixed_color_position,cls,12,12,2,56,5.0,2,0.5,0.01,0.0,layer_0,0.0,0.999794666957868,0.999804650738949,-9.983781080941112e-06,60.0,0.9999916871376253,0.9999900301285751,1.6570090502099343e-06,-4.163386015365589e-06
vit_base_patch16_224,0,cosine,l2_only,mixed_color_position,cls,12,12,2,56,5.0,2,0.5,0.01,0.0,layer_11,0.0,0.9627355668278049,0.9666624223656242,-0.003926855537819222,46.666666666666664,0.9969618089997145,0.9974276263035483,-0.0004658173038337543,-0.0021963364208264884
vit_base_patch16_224,0,cosine,l2_only,mixed_color_position,cls,12,12,2,56,5.0,2,0.5,0.01,0.0,layer_6,0.0,0.9693898195298433,0.972952802198033,-0.0035629826681897736,50.0,0.9979582179820699,0.9981152712289414,-0.000157053246871743,-0.0018600179575307583
vit_base_patch16_224,0,cosine,l2_only,mixed_color_position,cls,12,12,4,56,5.0,2,0.5,0.01,0.0,layer_0,4.166666666666666,0.9997995272198147,0.9998139192601093,-1.4392040294593697e-05,54.166666666666664,0.9999926487594069,0.9999926537262552,-4.966848504243486e-09,-7.19850357154897e-06
vit_base_patch16_224,0,cosine,l2_only,mixed_color_position,cls,12,12,4,56,5.0,2,0.5,0.01,0.0,layer_11,4.166666666666666,0.9634389829608166,0.9690560760937871,-0.005617093132970416,25.0,0.9972171235033103,0.9978430627990053,-0.0006259392956949906,-0.0031215162143327035
vit_base_patch16_224,0,cosine,l2_only,mixed_color_position,cls,12,12,4,56,5.0,2,0.5,0.01,0.0,layer_6,0.0,0.970233486252925,0.9772174751821999,-0.006983988929274977,27.083333333333332,0.9979972900732378,0.9986362965931533,-0.0006390065199152126,-0.003811497724595095
vit_base_patch16_224,0,cosine,l2_only,mixed_color_position,cls,12,12,6,56,5.0,2,0.5,0.01,0.0,layer_0,2.7777777777777777,0.9997908969626459,0.99981267418564,-2.1777222994240957e-05,63.888888888888886,0.9999949501607214,0.9999937845588255,1.1656018960828597e-06,-1.0305810549079048e-05
vit_base_patch16_224,0,cosine,l2_only,mixed_color_position,cls,12,12,6,56,5.0,2,0.5,0.01,0.0,layer_11,2.7777777777777777,0.9622398977905855,0.9674434575044251,-0.005203559713839336,16.666666666666664,0.9970257114129054,0.9978443810418144,-0.0008186696289089931,-0.0030111146713741642
vit_base_patch16_224,0,cosine,l2_only,mixed_color_position,cls,12,12,6,56,5.0,2,0.5,0.01,0.0,layer_6,2.7777777777777777,0.9695256554391505,0.9768251425732049,-0.00729948713405411,19.444444444444446,0.9979218988896922,0.9986663361009478,-0.0007444372112558914,-0.004021962172655001
vit_base_patch16_224,0,cosine,l2_only,color_only,cls,12,12,2,56,5.0,2,0.5,0.01,8.0,layer_0,0.0,0.9997798005625694,0.9997827410562912,-2.9404937216999847e-06,85.0,1.0000000019858246,0.9999999562889302,4.569689443327067e-08,-1.447398413633357e-06
