setting_name,split_label,split_seed,model_name,pooling,layer,n_stored,n_probe,decision_noise_std,corruption_mode,noise_std,max_shift,occlusion_frac,ident_accuracy,gen_accuracy
hard_s40,stored_40_seed_1,1,vit_base_patch16_clip_224.openai,cls,layer_4,40,80,0.01,noise_shift_occlusion,5.0,2,0.5,27.500000000000004,3.75
hard_s40,stored_40_seed_1,1,vit_base_patch16_clip_224.openai,cls,layer_5,40,80,0.01,noise_shift_occlusion,5.0,2,0.5,32.5,2.5
hard_s40,stored_40_seed_1,1,vit_base_patch16_clip_224.openai,cls,layer_6,40,80,0.01,noise_shift_occlusion,5.0,2,0.5,32.5,3.75
hard_s40,stored_40_seed_1,1,vit_base_patch16_clip_224.openai,cls,layer_7,40,80,0.01,noise_shift_occlusion,5.0,2,0.5,47.5,3.75
hard_s40,stored_40_seed_1,1,vit_base_patch16_clip_224.openai,cls,layer_8,40,80,0.01,noise_shift_occlusion,5.0,2,0.5,42.5,5.0
hard_s40,stored_40_seed_1,1,vit_base_patch16_clip_224.openai,cls,layer_9,40,80,0.01,noise_shift_occlusion,5.0,2,0.5,35.0,6.25
hard_s40,stored_40_seed_1,1,vit_base_patch16_clip_224.openai,cls,layer_10,40,80,0.01,noise_shift_occlusion,5.0,2,0.5,40.0,15.0
hard_s40,stored_40_seed_1,1,vit_base_patch16_clip_224.openai,cls,layer_11,40,80,0.01,noise_shift_occlusion,5.0,2,0.5,47.5,46.25
hard_s40,stored_40_seed_2,2,vit_base_patch16_224,cls,layer_0,40,80,0.01,noise_shift_occlusion,5.0,2,0.5,2.5,3.75
hard_s40,stored_40_seed_2,2,vit_base_patch16_224,cls,layer_1,40,80,0.01,noise_shift_occlusion,5.0,2,0.5,5.0,3.75
hard_s40,stored_40_seed_2,2,vit_base_patch16_224,cls,layer_2,40,80,0.01,noise_shift_occlusion,5.0,2,0.5,5.0,3.75
hard_s40,stored_40_seed_2,2,vit_base_patch16_224,cls,layer_3,40,80,0.01,noise_shift_occlusion,5.0,2,0.5,5.0,3.75
hard_s40,stored_40_seed_2,2,vit_base_patch16_224,cls,layer_4,40,80,0.01,noise_shift_occlusion,5.0,2,0.5,12.5,3.75
hard_s40,stored_40_seed_2,2,vit_base_patch16_224,cls,layer_5,40,80,0.01,noise_shift_occlusion,5.0,2,0.5,45.0,3.75
hard_s40,stored_40_seed_2,2,vit_base_patch16_224,cls,layer_6,40,80,0.01,noise_shift_occlusion,5.0,2,0.5,62.5,8.75
hard_s40,stored_40_seed_2,2,vit_base_patch16_224,cls,layer_7,40,80,0.01,noise_shift_occlusion,5.0,2,0.5,47.5,7.5
hard_s40,stored_40_seed_2,2,vit_base_patch16_224,cls,layer_8,40,80,0.01,noise_shift_occlusion,5.0,2,0.5,42.5,8.75
hard_s40,stored_40_seed_2,2,vit_base_patch16_224,cls,layer_9,40,80,0.01,noise_shift_occlusion,5.0,2,0.5,45.0,20.0
hard_s40,stored_40_seed_2,2,vit_base_patch16_224,cls,layer_10,40,80,0.01,noise_shift_occlusion,5.0,2,0.5,67.5,45.0
hard_s40,stored_40_seed_2,2,vit_base_patch16_224,cls,layer_11,40,80,0.01,noise_shift_occlusion,5.0,2,0.5,75.0,42.5
hard_s40,stored_40_seed_2,2,vit_base_patch16_clip_224.openai,cls,layer_0,40,80,0.01,noise_shift_occlusion,5.0,2,0.5,5.0,3.75
hard_s40,stored_40_seed_2,2,vit_base_patch16_clip_224.openai,cls,layer_1,40,80,0.01,noise_shift_occlusion,5.0,2,0.5,5.0,3.75
hard_s40,stored_40_seed_2,2,vit_base_patch16_clip_224.openai,cls,layer_2,40,80,0.01,noise_shift_occlusion,5.0,2,0.5,10.0,3.75
hard_s40,stored_40_seed_2,2,vit_base_patch16_clip_224.openai,cls,layer_3,40,80,0.01,noise_shift_occlusion,5.0,2,0.5,10.0,2.5
hard_s40,stored_40_seed_2,2,vit_base_patch16_clip_224.openai,cls,layer_4,40,80,0.01,noise_shift_occlusion,5.0,2,0.5,22.5,3.75
hard_s40,stored_40_seed_2,2,vit_base_patch16_clip_224.openai,cls,layer_5,40,80,0.01,noise_shift_occlusion,5.0,2,0.5,22.5,3.75
hard_s40,stored_40_seed_2,2,vit_base_patch16_clip_224.openai,cls,layer_6,40,80,0.01,noise_shift_occlusion,5.0,2,0.5,17.5,6.25
hard_s40,stored_40_seed_2,2,vit_base_patch16_clip_224.openai,cls,layer_7,40,80,0.01,noise_shift_occlusion,5.0,2,0.5,37.5,3.75
hard_s40,stored_40_seed_2,2,vit_base_patch16_clip_224.openai,cls,layer_8,40,80,0.01,noise_shift_occlusion,5.0,2,0.5,37.5,1.25
hard_s40,stored_40_seed_2,2,vit_base_patch16_clip_224.openai,cls,layer_9,40,80,0.01,noise_shift_occlusion,5.0,2,0.5,37.5,3.75
hard_s40,stored_40_seed_2,2,vit_base_patch16_clip_224.openai,cls,layer_10,40,80,0.01,noise_shift_occlusion,5.0,2,0.5,25.0,16.25
hard_s40,stored_40_seed_2,2,vit_base_patch16_clip_224.openai,cls,layer_11,40,80,0.01,noise_shift_occlusion,5.0,2,0.5,45.0,52.5
hard_s40,stored_40_seed_3,3,vit_base_patch16_224,cls,layer_0,40,80,0.01,noise_shift_occlusion,5.0,2,0.5,0.0,2.5
hard_s40,stored_40_seed_3,3,vit_base_patch16_224,cls,layer_1,40,80,0.01,noise_shift_occlusion,5.0,2,0.5,0.0,2.5
hard_s40,stored_40_seed_3,3,vit_base_patch16_224,cls,layer_2,40,80,0.01,noise_shift_occlusion,5.0,2,0.5,0.0,1.25
hard_s40,stored_40_seed_3,3,vit_base_patch16_224,cls,layer_3,40,80,0.01,noise_shift_occlusion,5.0,2,0.5,0.0,1.25
hard_s40,stored_40_seed_3,3,vit_base_patch16_224,cls,layer_4,40,80,0.01,noise_shift_occlusion,5.0,2,0.5,10.0,1.25
hard_s40,stored_40_seed_3,3,vit_base_patch16_224,cls,layer_5,40,80,0.01,noise_shift_occlusion,5.0,2,0.5,42.5,5.0
