setting_value,optimum_c,gen_accuracy,ident_accuracy
1,1.0,58.666666666666664,69.44444444444444
3,1.4190476190476191,57.333333333333336,78.88888888888889
5,1.3142857142857143,53.11111111111111,76.66666666666667
7,1.3142857142857143,54.22222222222223,80.0
9,1.3142857142857143,56.66666666666666,74.44444444444444
