setting_value,optimum_c,gen_accuracy,ident_accuracy
2,1.5238095238095237,47.555555555555564,88.8888888888889
3,1.4190476190476191,53.77777777777777,92.22222222222221
4,1.7333333333333334,60.88888888888889,95.0
5,1.1047619047619048,61.55555555555555,64.44444444444444
6,1.5238095238095237,67.11111111111113,93.33333333333333
7,1.7333333333333334,70.44444444444444,97.77777777777777
