setting_value,optimum_c,gen_accuracy,ident_accuracy
3,1.4190476190476191,61.11111111111111,76.66666666666667
4,1.4190476190476191,53.77777777777777,92.22222222222221
5,1.3142857142857143,54.22222222222222,82.77777777777777
6,1.2095238095238094,56.00000000000001,83.33333333333333
7,1.0,48.666666666666664,41.666666666666664
8,1.2095238095238094,55.111111111111114,86.66666666666667
9,1.2095238095238094,52.0,93.33333333333333
