setting_name,split_label,split_seed,model_name,pooling,layer,dam_n,dam_beta,dam_alpha,dam_lmbda,dam_steps_multiplier,n_stored,n_probe,decision_noise_std,corruption_mode,noise_std,max_shift,occlusion_frac,neurons,mean_pairwise_cosine_similarity,mean_pairwise_cosine_distance,pairwise_cosine_similarity_std,pairwise_cosine_distance_std,ident_accuracy,gen_accuracy
occ50_dnoise001_s100,stored_100_seed_0,0,vit_base_patch16_clip_224.openai,cls,layer_2,4,0.02,0.1,0.05,2,100,20,0.01,occlusion,5.0,2,0.5,768,0.9882815489445255,0.011718451055474548,0.004502912580201781,0.004502912580201781,50.0,5.0
occ50_dnoise001_s100,stored_100_seed_0,0,vit_base_patch16_clip_224.openai,cls,layer_3,4,0.02,0.1,0.05,2,100,20,0.01,occlusion,5.0,2,0.5,768,0.977540887507356,0.022459112492644012,0.007422569706961189,0.007422569706961189,87.0,5.0
occ50_dnoise001_s100,stored_100_seed_0,0,vit_base_patch16_clip_224.openai,cls,layer_4,4,0.02,0.1,0.05,2,100,20,0.01,occlusion,5.0,2,0.5,768,0.9527799746380395,0.04722002536196037,0.016013184214772404,0.016013184214772408,99.0,15.0
occ50_dnoise001_s100,stored_100_seed_0,0,vit_base_patch16_clip_224.openai,cls,layer_5,4,0.02,0.1,0.05,2,100,20,0.01,occlusion,5.0,2,0.5,768,0.9182058927336536,0.08179410726634632,0.02528119030055046,0.02528119030055046,100.0,5.0
occ50_dnoise001_s100,stored_100_seed_0,0,vit_base_patch16_clip_224.openai,cls,layer_6,4,0.02,0.1,0.05,2,100,20,0.01,occlusion,5.0,2,0.5,768,0.899293994743028,0.10070600525697208,0.02641780871573325,0.02641780871573325,100.0,10.0
occ50_dnoise001_s100,stored_100_seed_0,0,vit_base_patch16_clip_224.openai,cls,layer_7,4,0.02,0.1,0.05,2,100,20,0.01,occlusion,5.0,2,0.5,768,0.9124936466661415,0.0875063533338585,0.020859859056853725,0.020859859056853728,100.0,10.0
occ50_dnoise001_s100,stored_100_seed_0,0,vit_base_patch16_clip_224.openai,cls,layer_8,4,0.02,0.1,0.05,2,100,20,0.01,occlusion,5.0,2,0.5,768,0.9373823785314574,0.06261762146854259,0.014701303818778095,0.014701303818778093,87.0,10.0
occ50_dnoise001_s100,stored_100_seed_0,0,vit_base_patch16_clip_224.openai,cls,layer_9,4,0.02,0.1,0.05,2,100,20,0.01,occlusion,5.0,2,0.5,768,0.9479462330673077,0.052053766932692334,0.0115039294068079,0.0115039294068079,46.0,25.0
occ50_dnoise001_s100,stored_100_seed_0,0,vit_base_patch16_clip_224.openai,cls,layer_10,4,0.02,0.1,0.05,2,100,20,0.01,occlusion,5.0,2,0.5,768,0.8820525709063025,0.11794742909369757,0.030257477306469986,0.030257477306469986,36.0,25.0
occ50_dnoise001_s100,stored_100_seed_0,0,vit_base_patch16_clip_224.openai,cls,layer_11,4,0.02,0.1,0.05,2,100,20,0.01,occlusion,5.0,2,0.5,768,0.555748273977929,0.44425172602207097,0.08089915045228392,0.08089915045228392,44.0,45.0
occ50_dnoise001_s100,stored_100_seed_0,0,vit_base_patch16_clip_224.openai,cls,layer_0,6,0.02,0.1,0.05,2,100,20,0.01,occlusion,5.0,2,0.5,768,0.9958317312896274,0.004168268710372494,0.002245744438610166,0.002245744438610166,3.0,0.0
occ50_dnoise001_s100,stored_100_seed_0,0,vit_base_patch16_clip_224.openai,cls,layer_1,6,0.02,0.1,0.05,2,100,20,0.01,occlusion,5.0,2,0.5,768,0.9956974140681019,0.004302585931898187,0.0017693376631572764,0.0017693376631572764,11.0,5.0
occ50_dnoise001_s100,stored_100_seed_0,0,vit_base_patch16_clip_224.openai,cls,layer_2,6,0.02,0.1,0.05,2,100,20,0.01,occlusion,5.0,2,0.5,768,0.9882815489445255,0.011718451055474548,0.004502912580201781,0.004502912580201781,50.0,5.0
occ50_dnoise001_s100,stored_100_seed_0,0,vit_base_patch16_clip_224.openai,cls,layer_3,6,0.02,0.1,0.05,2,100,20,0.01,occlusion,5.0,2,0.5,768,0.977540887507356,0.022459112492644012,0.007422569706961189,0.007422569706961189,87.0,5.0
occ50_dnoise001_s100,stored_100_seed_0,0,vit_base_patch16_clip_224.openai,cls,layer_4,6,0.02,0.1,0.05,2,100,20,0.01,occlusion,5.0,2,0.5,768,0.9527799746380395,0.04722002536196037,0.016013184214772404,0.016013184214772408,99.0,15.0
occ50_dnoise001_s100,stored_100_seed_0,0,vit_base_patch16_clip_224.openai,cls,layer_5,6,0.02,0.1,0.05,2,100,20,0.01,occlusion,5.0,2,0.5,768,0.9182058927336536,0.08179410726634632,0.02528119030055046,0.02528119030055046,100.0,5.0
occ50_dnoise001_s100,stored_100_seed_0,0,vit_base_patch16_clip_224.openai,cls,layer_6,6,0.02,0.1,0.05,2,100,20,0.01,occlusion,5.0,2,0.5,768,0.899293994743028,0.10070600525697208,0.02641780871573325,0.02641780871573325,100.0,10.0
occ50_dnoise001_s100,stored_100_seed_0,0,vit_base_patch16_clip_224.openai,cls,layer_7,6,0.02,0.1,0.05,2,100,20,0.01,occlusion,5.0,2,0.5,768,0.9124936466661415,0.0875063533338585,0.020859859056853725,0.020859859056853728,100.0,10.0
occ50_dnoise001_s100,stored_100_seed_0,0,vit_base_patch16_clip_224.openai,cls,layer_8,6,0.02,0.1,0.05,2,100,20,0.01,occlusion,5.0,2,0.5,768,0.9373823785314574,0.06261762146854259,0.014701303818778095,0.014701303818778093,86.0,10.0
occ50_dnoise001_s100,stored_100_seed_0,0,vit_base_patch16_clip_224.openai,cls,layer_9,6,0.02,0.1,0.05,2,100,20,0.01,occlusion,5.0,2,0.5,768,0.9479462330673077,0.052053766932692334,0.0115039294068079,0.0115039294068079,45.0,20.0
occ50_dnoise001_s100,stored_100_seed_0,0,vit_base_patch16_clip_224.openai,cls,layer_10,6,0.02,0.1,0.05,2,100,20,0.01,occlusion,5.0,2,0.5,768,0.8820525709063025,0.11794742909369757,0.030257477306469986,0.030257477306469986,35.0,25.0
occ50_dnoise001_s100,stored_100_seed_0,0,vit_base_patch16_clip_224.openai,cls,layer_11,6,0.02,0.1,0.05,2,100,20,0.01,occlusion,5.0,2,0.5,768,0.555748273977929,0.44425172602207097,0.08089915045228392,0.08089915045228392,44.0,45.0
occ50_dnoise001_s100,stored_100_seed_0,0,vit_base_patch16_clip_224.openai,cls,layer_0,8,0.02,0.1,0.05,2,100,20,0.01,occlusion,5.0,2,0.5,768,0.9958317312896274,0.004168268710372494,0.002245744438610166,0.002245744438610166,3.0,0.0
occ50_dnoise001_s100,stored_100_seed_0,0,vit_base_patch16_clip_224.openai,cls,layer_1,8,0.02,0.1,0.05,2,100,20,0.01,occlusion,5.0,2,0.5,768,0.9956974140681019,0.004302585931898187,0.0017693376631572764,0.0017693376631572764,13.0,5.0
occ50_dnoise001_s100,stored_100_seed_0,0,vit_base_patch16_clip_224.openai,cls,layer_2,8,0.02,0.1,0.05,2,100,20,0.01,occlusion,5.0,2,0.5,768,0.9882815489445255,0.011718451055474548,0.004502912580201781,0.004502912580201781,50.0,5.0
occ50_dnoise001_s100,stored_100_seed_0,0,vit_base_patch16_clip_224.openai,cls,layer_3,8,0.02,0.1,0.05,2,100,20,0.01,occlusion,5.0,2,0.5,768,0.977540887507356,0.022459112492644012,0.007422569706961189,0.007422569706961189,87.0,5.0
occ50_dnoise001_s100,stored_100_seed_0,0,vit_base_patch16_clip_224.openai,cls,layer_4,8,0.02,0.1,0.05,2,100,20,0.01,occlusion,5.0,2,0.5,768,0.9527799746380395,0.04722002536196037,0.016013184214772404,0.016013184214772408,100.0,15.0
occ50_dnoise001_s100,stored_100_seed_0,0,vit_base_patch16_clip_224.openai,cls,layer_5,8,0.02,0.1,0.05,2,100,20,0.01,occlusion,5.0,2,0.5,768,0.9182058927336536,0.08179410726634632,0.02528119030055046,0.02528119030055046,100.0,5.0
occ50_dnoise001_s100,stored_100_seed_0,0,vit_base_patch16_clip_224.openai,cls,layer_6,8,0.02,0.1,0.05,2,100,20,0.01,occlusion,5.0,2,0.5,768,0.899293994743028,0.10070600525697208,0.02641780871573325,0.02641780871573325,100.0,10.0
occ50_dnoise001_s100,stored_100_seed_0,0,vit_base_patch16_clip_224.openai,cls,layer_7,8,0.02,0.1,0.05,2,100,20,0.01,occlusion,5.0,2,0.5,768,0.9124936466661415,0.0875063533338585,0.020859859056853725,0.020859859056853728,100.0,10.0
occ50_dnoise001_s100,stored_100_seed_0,0,vit_base_patch16_clip_224.openai,cls,layer_8,8,0.02,0.1,0.05,2,100,20,0.01,occlusion,5.0,2,0.5,768,0.9373823785314574,0.06261762146854259,0.014701303818778095,0.014701303818778093,87.0,10.0
occ50_dnoise001_s100,stored_100_seed_0,0,vit_base_patch16_clip_224.openai,cls,layer_9,8,0.02,0.1,0.05,2,100,20,0.01,occlusion,5.0,2,0.5,768,0.9479462330673077,0.052053766932692334,0.0115039294068079,0.0115039294068079,46.0,20.0
occ50_dnoise001_s100,stored_100_seed_0,0,vit_base_patch16_clip_224.openai,cls,layer_10,8,0.02,0.1,0.05,2,100,20,0.01,occlusion,5.0,2,0.5,768,0.8820525709063025,0.11794742909369757,0.030257477306469986,0.030257477306469986,34.0,30.0
occ50_dnoise001_s100,stored_100_seed_0,0,vit_base_patch16_clip_224.openai,cls,layer_11,8,0.02,0.1,0.05,2,100,20,0.01,occlusion,5.0,2,0.5,768,0.555748273977929,0.44425172602207097,0.08089915045228392,0.08089915045228392,46.0,45.0
occ50_dnoise001_s100,stored_100_seed_1,1,vit_base_patch16_224,cls,layer_0,2,0.02,0.1,0.05,2,100,20,0.01,occlusion,5.0,2,0.5,768,0.9997299892402537,0.0002700107597463342,0.000199632401481047,0.000199632401481047,5.0,5.0
occ50_dnoise001_s100,stored_100_seed_1,1,vit_base_patch16_224,cls,layer_1,2,0.02,0.1,0.05,2,100,20,0.01,occlusion,5.0,2,0.5,768,0.9977704636353758,0.0022295363646243206,0.001094427835642923,0.001094427835642923,10.0,5.0
occ50_dnoise001_s100,stored_100_seed_1,1,vit_base_patch16_224,cls,layer_2,2,0.02,0.1,0.05,2,100,20,0.01,occlusion,5.0,2,0.5,768,0.9970528951621468,0.0029471048378533725,0.0012355371129598532,0.0012355371129598532,11.0,5.0
occ50_dnoise001_s100,stored_100_seed_1,1,vit_base_patch16_224,cls,layer_3,2,0.02,0.1,0.05,2,100,20,0.01,occlusion,5.0,2,0.5,768,0.993502617498743,0.006497382501257163,0.002163211127767103,0.0021632111277671024,52.0,15.0
