category,split_label,split_seed,split_mode,model_name,pooling,layer,anchor_kind,n_stored,n_probe,chance_accuracy,ident_accuracy_baseline,ident_avg_margin_baseline,gen_accuracy_baseline,gen_avg_margin_baseline,gen_avg_retrieved_human_similarity_baseline,gen_avg_human_similarity_regret_baseline,gen_same_concept_accuracy_baseline,human_rdm_spearman_baseline,exact_accuracy_dam,clean_reextract_accuracy_dam,exact_avg_target_sim_dam,clean_reextract_avg_target_sim_dam,ident_accuracy_dam,ident_avg_target_sim_dam,ident_avg_margin_dam,gen_accuracy_dam,gen_avg_target_sim_dam,gen_avg_margin_dam,gen_avg_retrieved_human_similarity_dam,gen_avg_human_similarity_regret_dam,gen_same_concept_accuracy_dam,probe_rdm_spearman_pre,probe_rdm_spearman_post,probe_rdm_spearman_delta,cue_recovered_cosine_mean,cue_recovered_cosine_std,cue_displacement_mean,target_pull_gain_mean,target_pull_gain_std,gen_winners_dam,ident_accuracy_delta,gen_accuracy_delta,gen_avg_margin_delta,gen_avg_human_similarity_regret_delta,qualifying_win,dam_stage,dam_n,dam_beta,dam_alpha,dam_lmbda,dam_steps_multiplier
vegetables,fold_0,0,balanced_exemplar_folds,vit_base_patch16_224,cls,layer_11,retrieval,78,39,1.2820512820512822,66.66666666666666,0.015717687971825205,43.58974358974359,-0.008016227747013072,0.7215384615384616,0.09846153846153845,79.48717948717949,0.30382727361018574,100.0,100.0,0.9992206204903987,0.9992120536477653,96.15384615384616,0.5817338025099692,0.16674610305958673,46.15384615384615,0.5849226889888036,-0.04329971711550993,0.7458974358974358,0.07410256410256409,82.05128205128204,0.27015941273887617,0.421780547347031,0.15162113460815485,0.9990997249783732,0.00016420130781394395,0.0009002750216266665,0.0022146607856199227,0.0018068185862225347,"[0, 2, 20, 7, 8, 11, 13, 15, 17, 19, 20, 22, 24, 26, 28, 27, 33, 35, 36, 39, 66, 42, 16, 47, 49, 50, 53, 54, 57, 59, 60, 1, 65, 67, 27, 73, 73, 74, 77]",29.487179487179503,2.564102564102562,-0.03528348936849686,-0.024358974358974356,False,A,2,0.05,0.05,0.0,1
vegetables,fold_0,0,balanced_exemplar_folds,vit_base_patch16_224,cls,layer_11,retrieval,78,39,1.2820512820512822,66.66666666666666,0.015717687971825205,43.58974358974359,-0.008016227747013072,0.7215384615384616,0.09846153846153845,79.48717948717949,0.30382727361018574,100.0,100.0,0.9983817413397662,0.9983767017784777,96.15384615384616,0.5850966691758328,0.1662182842078762,46.15384615384615,0.5868954160026145,-0.04363121175087165,0.7458974358974358,0.07410256410256409,82.05128205128204,0.27015941273887617,0.4220145788813542,0.15185516614247802,0.9981261746776168,0.00030631152371288304,0.0018738253223831813,0.004187391518839702,0.003789296140830717,"[0, 2, 20, 7, 8, 11, 13, 15, 17, 19, 20, 22, 24, 26, 28, 27, 33, 35, 36, 39, 66, 42, 16, 47, 49, 50, 53, 54, 57, 59, 60, 1, 65, 67, 27, 73, 73, 74, 77]",29.487179487179503,2.564102564102562,-0.03561498400385858,-0.024358974358974356,False,A,2,0.05,0.05,0.0,2
vegetables,fold_0,0,balanced_exemplar_folds,vit_base_patch16_224,cls,layer_11,retrieval,78,39,1.2820512820512822,66.66666666666666,0.015717687971825205,43.58974358974359,-0.008016227747013072,0.7215384615384616,0.09846153846153845,79.48717948717949,0.30382727361018574,100.0,100.0,0.999215936166164,0.9992073308617248,96.15384615384616,0.5817302008970903,0.1667451890601839,46.15384615384615,0.5849195787254994,-0.043300137851025544,0.7458974358974358,0.07410256410256409,82.05128205128204,0.27015941273887617,0.4217776549716778,0.15161824223280163,0.9990947424430223,0.00016492091555677006,0.0009052575569776731,0.002211542754377093,0.0018082115084962853,"[0, 2, 20, 7, 8, 11, 13, 15, 17, 19, 20, 22, 24, 26, 28, 27, 33, 35, 36, 39, 66, 42, 16, 47, 49, 50, 53, 54, 57, 59, 60, 1, 65, 67, 27, 73, 73, 74, 77]",29.487179487179503,2.564102564102562,-0.035283910104012474,-0.024358974358974356,False,A,2,0.05,0.05,0.05,1
vegetables,fold_0,0,balanced_exemplar_folds,vit_base_patch16_224,cls,layer_11,retrieval,78,39,1.2820512820512822,66.66666666666666,0.015717687971825205,43.58974358974359,-0.008016227747013072,0.7215384615384616,0.09846153846153845,79.48717948717949,0.30382727361018574,100.0,100.0,0.9983723297617573,0.9983673154006784,96.15384615384616,0.5850897955546304,0.1662168547906713,46.15384615384615,0.5868887853856845,-0.04363135917330508,0.7458974358974358,0.07410256410256409,82.05128205128204,0.27015941273887617,0.4220114651507443,0.1518520524118681,0.9981161756954486,0.00030780963762905565,0.0018838243045514393,0.004180753911168566,0.0037915114782223415,"[0, 2, 20, 7, 8, 11, 13, 15, 17, 19, 20, 22, 24, 26, 28, 27, 33, 35, 36, 39, 66, 42, 16, 47, 49, 50, 53, 54, 57, 59, 60, 1, 65, 67, 27, 73, 73, 74, 77]",29.487179487179503,2.564102564102562,-0.03561513142629201,-0.024358974358974356,False,A,2,0.05,0.05,0.05,2
vegetables,fold_0,0,balanced_exemplar_folds,vit_base_patch16_224,cls,layer_11,retrieval,78,39,1.2820512820512822,66.66666666666666,0.015717687971825205,43.58974358974359,-0.008016227747013072,0.7215384615384616,0.09846153846153845,79.48717948717949,0.30382727361018574,100.0,100.0,0.9969207847021826,0.9968872311496343,96.15384615384616,0.5838039976533962,0.16576009048028245,46.15384615384615,0.5861455050517674,-0.04368479149828677,0.7458974358974358,0.07410256410256409,82.05128205128204,0.27015941273887617,0.4209220283627116,0.15076261562383542,0.9964350532125684,0.0006509541268227589,0.0035649467874312958,0.003437473198842654,0.0036166426205166626,"[0, 2, 20, 7, 8, 11, 13, 15, 17, 19, 20, 22, 24, 26, 28, 27, 33, 35, 36, 39, 66, 42, 16, 47, 49, 50, 53, 54, 57, 59, 60, 1, 65, 67, 27, 73, 73, 74, 77]",29.487179487179503,2.564102564102562,-0.035668563751273696,-0.024358974358974356,False,A,2,0.05,0.1,0.0,1
vegetables,fold_0,0,balanced_exemplar_folds,vit_base_patch16_224,cls,layer_11,retrieval,78,39,1.2820512820512822,66.66666666666666,0.015717687971825205,43.58974358974359,-0.008016227747013072,0.7215384615384616,0.09846153846153845,79.48717948717949,0.30382727361018574,100.0,100.0,0.9936848886916955,0.993671553259684,96.15384615384616,0.5892878544693813,0.16428558418502734,43.58974358974359,0.5890150184817102,-0.04428568295067367,0.7423076923076923,0.07769230769230769,82.05128205128204,0.27015941273887617,0.4195572403924519,0.14939782765357573,0.9926531808629966,0.001243094786510225,0.007346819137003208,0.006306983359030544,0.007536640849376917,"[0, 3, 20, 7, 8, 11, 13, 15, 17, 19, 20, 22, 24, 26, 28, 27, 33, 35, 36, 39, 66, 42, 16, 47, 49, 50, 53, 54, 57, 59, 60, 1, 65, 67, 27, 73, 73, 74, 77]",29.487179487179503,0.0,-0.0362694552036606,-0.020769230769230762,False,A,2,0.05,0.1,0.0,2
vegetables,fold_0,0,balanced_exemplar_folds,vit_base_patch16_224,cls,layer_6,alignment,78,39,1.2820512820512822,57.692307692307686,0.012175285591604953,23.076923076923077,-0.012788514246577818,0.5212820512820513,0.29871794871794866,38.46153846153847,0.3546877856212228,100.0,100.0,0.9992299829837032,0.9992037817021213,98.71794871794873,0.5733495667323348,0.21632632157315115,28.205128205128204,0.2891481327577945,-0.1556803206408413,0.5243589743589744,0.29564102564102557,38.46153846153847,0.3986974441017583,0.4265996136109898,0.027902169509231523,0.9990482149732072,0.00010893733133832875,0.0009517850267926606,0.0016596344959750842,0.0019253067682781825,"[0, 46, 46, 76, 9, 11, 3, 45, 14, 8, 21, 22, 44, 27, 29, 58, 32, 17, 42, 39, 76, 57, 16, 47, 24, 50, 19, 54, 65, 58, 60, 10, 59, 9, 4, 10, 11, 45, 77]",41.02564102564104,5.128205128205128,-0.1428918063942635,-0.003076923076923088,False,A,2,0.05,0.05,0.0,1
vegetables,fold_0,0,balanced_exemplar_folds,vit_base_patch16_224,cls,layer_6,alignment,78,39,1.2820512820512822,57.692307692307686,0.012175285591604953,23.076923076923077,-0.012788514246577818,0.5212820512820513,0.29871794871794866,38.46153846153847,0.3546877856212228,100.0,100.0,0.9983787690855399,0.998375179280017,98.71794871794873,0.5754863547117446,0.21623597520133117,28.205128205128204,0.2906187461935644,-0.15708097339237465,0.5243589743589744,0.29564102564102557,38.46153846153847,0.3986974441017583,0.4286188752900101,0.0299214311882518,0.998026544876621,0.00023722667042414474,0.001973455123378958,0.003130247149392155,0.0035270706862608617,"[0, 46, 46, 76, 9, 11, 3, 45, 14, 8, 21, 22, 44, 27, 29, 58, 32, 17, 42, 39, 76, 57, 16, 47, 24, 50, 19, 54, 65, 58, 60, 10, 59, 9, 4, 10, 11, 45, 77]",41.02564102564104,5.128205128205128,-0.14429245914579683,-0.003076923076923088,False,A,2,0.05,0.05,0.0,2
vegetables,fold_0,0,balanced_exemplar_folds,vit_base_patch16_224,cls,layer_6,alignment,78,39,1.2820512820512822,57.692307692307686,0.012175285591604953,23.076923076923077,-0.012788514246577818,0.5212820512820513,0.29871794871794866,38.46153846153847,0.3546877856212228,100.0,100.0,0.9992253398782722,0.9991989669811867,98.71794871794873,0.5733467066672943,0.21632454831225645,28.205128205128204,0.28914696485515823,-0.15567920739171365,0.5243589743589744,0.29564102564102557,38.46153846153847,0.3986974441017583,0.42661416402985874,0.027916719928100464,0.9990429831091056,0.00010948854996328228,0.0009570168908947426,0.0016584685411218003,0.001928444100805016,"[0, 46, 46, 76, 9, 11, 3, 45, 14, 8, 21, 22, 44, 27, 29, 58, 32, 17, 42, 39, 76, 57, 16, 47, 24, 50, 19, 54, 65, 58, 60, 10, 59, 9, 4, 10, 11, 45, 77]",41.02564102564104,5.128205128205128,-0.14289069314513583,-0.003076923076923088,False,A,2,0.05,0.05,0.05,1
vegetables,fold_0,0,balanced_exemplar_folds,vit_base_patch16_224,cls,layer_6,alignment,78,39,1.2820512820512822,57.692307692307686,0.012175285591604953,23.076923076923077,-0.012788514246577818,0.5212820512820513,0.29871794871794866,38.46153846153847,0.3546877856212228,100.0,100.0,0.9983692589093269,0.9983656235850461,98.71794871794873,0.5754791856976827,0.21623311138902793,28.205128205128204,0.2906159902647994,-0.15707956404032195,0.5243589743589744,0.29564102564102557,38.46153846153847,0.3986974441017583,0.42864713497777285,0.029949690876014567,0.9980160839618901,0.0002384416136429511,0.0019839160381098873,0.0031274855428210214,0.003529981128283293,"[0, 46, 46, 76, 9, 11, 3, 45, 14, 8, 21, 22, 44, 27, 29, 58, 32, 17, 42, 39, 76, 57, 16, 47, 24, 50, 19, 54, 65, 58, 60, 10, 59, 9, 4, 10, 11, 45, 77]",41.02564102564104,5.128205128205128,-0.14429104979374413,-0.003076923076923088,False,A,2,0.05,0.05,0.05,2
