kind,setting_name,model_name,dam_n,distance_rank,layer,mean_pairwise_cosine_distance_mean,gen_accuracy_mean,ident_accuracy_mean
baseline,occ50_s80,vit_base_patch16_224,,0,layer_0,0.00025340406601792755,2.0,5.0
baseline,occ50_s80,vit_base_patch16_224,,1,layer_1,0.0021656768703683907,4.0,8.75
baseline,occ50_s80,vit_base_patch16_224,,2,layer_2,0.002898296067907498,3.0,16.25
baseline,occ50_s80,vit_base_patch16_224,,3,layer_3,0.006474983635747564,4.5,79.75
baseline,occ50_s80,vit_base_patch16_224,,4,layer_4,0.0154406121756026,7.0,96.75
baseline,occ50_s80,vit_base_patch16_224,,5,layer_5,0.035057333346405005,6.5,100.0
baseline,occ50_s80,vit_base_patch16_224,,6,layer_8,0.04473657477852187,28.0,91.75
baseline,occ50_s80,vit_base_patch16_224,,7,layer_7,0.050127918334462965,16.0,94.0
baseline,occ50_s80,vit_base_patch16_224,,8,layer_9,0.051364563794427165,46.5,82.75
baseline,occ50_s80,vit_base_patch16_224,,9,layer_6,0.06299240341879757,10.5,99.5
baseline,occ50_s80,vit_base_patch16_224,,10,layer_11,0.1187755654603452,63.0,88.0
baseline,occ50_s80,vit_base_patch16_224,,11,layer_10,0.14307485728211136,57.0,78.25
baseline,occ50_s80,vit_base_patch16_clip_224.openai,,0,layer_0,0.004145276462240954,3.0,2.5
baseline,occ50_s80,vit_base_patch16_clip_224.openai,,1,layer_1,0.004264526728543379,4.5,12.25
baseline,occ50_s80,vit_base_patch16_clip_224.openai,,2,layer_2,0.011685380041813041,4.5,63.5
baseline,occ50_s80,vit_base_patch16_clip_224.openai,,3,layer_3,0.022585480551770207,5.0,95.25
baseline,occ50_s80,vit_base_patch16_clip_224.openai,,4,layer_4,0.04692665682744766,7.0,100.0
baseline,occ50_s80,vit_base_patch16_clip_224.openai,,5,layer_9,0.05191352354543745,11.5,63.0
baseline,occ50_s80,vit_base_patch16_clip_224.openai,,6,layer_8,0.06284427268347667,6.0,93.75
baseline,occ50_s80,vit_base_patch16_clip_224.openai,,7,layer_5,0.08151550115899317,6.5,100.0
baseline,occ50_s80,vit_base_patch16_clip_224.openai,,8,layer_7,0.08873193891148354,2.5,99.25
baseline,occ50_s80,vit_base_patch16_clip_224.openai,,9,layer_6,0.09995758587000672,2.0,100.0
baseline,occ50_s80,vit_base_patch16_clip_224.openai,,10,layer_10,0.11812006553996397,23.5,37.5
baseline,occ50_s80,vit_base_patch16_clip_224.openai,,11,layer_11,0.44180558684802873,53.0,44.5
dam,occ50_s80,vit_base_patch16_224,2,0,layer_0,0.00025340406601792755,2.5,7.25
dam,occ50_s80,vit_base_patch16_224,2,1,layer_1,0.0021656768703683907,4.5,9.0
dam,occ50_s80,vit_base_patch16_224,2,2,layer_2,0.002898296067907498,4.0,14.0
dam,occ50_s80,vit_base_patch16_224,2,3,layer_3,0.006474983635747564,6.5,63.5
dam,occ50_s80,vit_base_patch16_224,2,4,layer_4,0.0154406121756026,10.5,93.25
dam,occ50_s80,vit_base_patch16_224,2,5,layer_5,0.035057333346405005,9.0,99.5
dam,occ50_s80,vit_base_patch16_224,2,6,layer_8,0.04473657477852187,26.5,96.25
dam,occ50_s80,vit_base_patch16_224,2,7,layer_7,0.050127918334462965,17.0,98.75
dam,occ50_s80,vit_base_patch16_224,2,8,layer_9,0.051364563794427165,45.5,94.75
dam,occ50_s80,vit_base_patch16_224,2,9,layer_6,0.06299240341879757,12.5,98.0
dam,occ50_s80,vit_base_patch16_224,2,10,layer_11,0.1187755654603452,62.5,91.25
dam,occ50_s80,vit_base_patch16_224,2,11,layer_10,0.14307485728211136,62.0,95.0
dam,occ50_s80,vit_base_patch16_224,4,0,layer_0,0.00025340406601792755,2.5,7.5
dam,occ50_s80,vit_base_patch16_224,4,1,layer_1,0.0021656768703683907,4.5,10.25
dam,occ50_s80,vit_base_patch16_224,4,2,layer_2,0.002898296067907498,4.5,15.0
dam,occ50_s80,vit_base_patch16_224,4,3,layer_3,0.006474983635747564,7.0,62.5
dam,occ50_s80,vit_base_patch16_224,4,4,layer_4,0.0154406121756026,10.0,93.0
dam,occ50_s80,vit_base_patch16_224,4,5,layer_5,0.035057333346405005,8.5,99.5
dam,occ50_s80,vit_base_patch16_224,4,6,layer_8,0.04473657477852187,26.5,97.0
dam,occ50_s80,vit_base_patch16_224,4,7,layer_7,0.050127918334462965,17.0,98.5
dam,occ50_s80,vit_base_patch16_224,4,8,layer_9,0.051364563794427165,44.5,95.0
dam,occ50_s80,vit_base_patch16_224,4,9,layer_6,0.06299240341879757,10.5,98.5
dam,occ50_s80,vit_base_patch16_224,4,10,layer_11,0.1187755654603452,61.5,91.5
dam,occ50_s80,vit_base_patch16_224,4,11,layer_10,0.14307485728211136,61.5,95.75
dam,occ50_s80,vit_base_patch16_224,6,0,layer_0,0.00025340406601792755,2.5,8.0
dam,occ50_s80,vit_base_patch16_224,6,1,layer_1,0.0021656768703683907,4.5,10.75
dam,occ50_s80,vit_base_patch16_224,6,2,layer_2,0.002898296067907498,4.5,15.25
dam,occ50_s80,vit_base_patch16_224,6,3,layer_3,0.006474983635747564,6.5,63.0
dam,occ50_s80,vit_base_patch16_224,6,4,layer_4,0.0154406121756026,9.5,92.75
dam,occ50_s80,vit_base_patch16_224,6,5,layer_5,0.035057333346405005,8.0,99.5
dam,occ50_s80,vit_base_patch16_224,6,6,layer_8,0.04473657477852187,27.5,96.0
dam,occ50_s80,vit_base_patch16_224,6,7,layer_7,0.050127918334462965,17.5,98.5
dam,occ50_s80,vit_base_patch16_224,6,8,layer_9,0.051364563794427165,45.5,95.25
dam,occ50_s80,vit_base_patch16_224,6,9,layer_6,0.06299240341879757,11.5,98.5
dam,occ50_s80,vit_base_patch16_224,6,10,layer_11,0.1187755654603452,61.5,91.75
dam,occ50_s80,vit_base_patch16_224,6,11,layer_10,0.14307485728211136,60.5,94.5
dam,occ50_s80,vit_base_patch16_224,8,0,layer_0,0.00025340406601792755,2.5,8.75
dam,occ50_s80,vit_base_patch16_224,8,1,layer_1,0.0021656768703683907,4.0,10.5
dam,occ50_s80,vit_base_patch16_224,8,2,layer_2,0.002898296067907498,4.5,15.5
dam,occ50_s80,vit_base_patch16_224,8,3,layer_3,0.006474983635747564,6.5,63.25
dam,occ50_s80,vit_base_patch16_224,8,4,layer_4,0.0154406121756026,9.0,92.75
dam,occ50_s80,vit_base_patch16_224,8,5,layer_5,0.035057333346405005,9.5,99.5
dam,occ50_s80,vit_base_patch16_224,8,6,layer_8,0.04473657477852187,26.0,96.25
dam,occ50_s80,vit_base_patch16_224,8,7,layer_7,0.050127918334462965,17.0,98.5
dam,occ50_s80,vit_base_patch16_224,8,8,layer_9,0.051364563794427165,47.0,95.25
dam,occ50_s80,vit_base_patch16_224,8,9,layer_6,0.06299240341879757,12.0,98.5
dam,occ50_s80,vit_base_patch16_224,8,10,layer_11,0.1187755654603452,63.5,91.5
dam,occ50_s80,vit_base_patch16_224,8,11,layer_10,0.14307485728211136,61.0,95.5
dam,occ50_s80,vit_base_patch16_clip_224.openai,2,0,layer_0,0.004145276462240954,4.0,2.75
dam,occ50_s80,vit_base_patch16_clip_224.openai,2,1,layer_1,0.004264526728543379,4.5,13.0
dam,occ50_s80,vit_base_patch16_clip_224.openai,2,2,layer_2,0.011685380041813041,8.0,55.5
dam,occ50_s80,vit_base_patch16_clip_224.openai,2,3,layer_3,0.022585480551770207,7.0,90.5
dam,occ50_s80,vit_base_patch16_clip_224.openai,2,4,layer_4,0.04692665682744766,8.0,98.75
dam,occ50_s80,vit_base_patch16_clip_224.openai,2,5,layer_9,0.05191352354543745,10.0,50.0
dam,occ50_s80,vit_base_patch16_clip_224.openai,2,6,layer_8,0.06284427268347667,4.0,83.75
dam,occ50_s80,vit_base_patch16_clip_224.openai,2,7,layer_5,0.08151550115899317,4.5,100.0
