category,split_label,split_seed,split_mode,model_name,pooling,layer,n_stored,n_probe,chance_accuracy,corruption_mode,corruption_label,noise_std,max_shift,occlusion_frac,mask_frac,n_chunks,affine_strength,decision_noise_std,ident_accuracy,ident_avg_target_sim,ident_avg_margin,gen_accuracy,gen_avg_target_sim,gen_avg_margin,gen_avg_retrieved_human_similarity,gen_avg_human_similarity_regret,gen_same_concept_accuracy,human_rdm_spearman,exact_accuracy,clean_reextract_accuracy,exact_avg_target_sim,clean_reextract_avg_target_sim
animals,stored_40_seed_0,0,random_storage_curve,vit_base_patch16_224,cls,layer_0,40,80,2.5,occlusion,occ0.5_dnoise0,5.0,2,0.5,0.3,6,0.05,0.0,5.0,0.999877980351448,-7.293373346328735e-05,6.25,0.999778538942337,-0.0001451343297958374,0.30103125000000003,0.54821875,nan,0.14354816418179295,100.0,100.0,1.000000038743019,1.000000038743019
animals,stored_40_seed_0,0,random_storage_curve,vit_base_patch16_224,cls,layer_11,40,80,2.5,occlusion,occ0.5_dnoise0,5.0,2,0.5,0.3,6,0.05,0.0,85.0,0.93538289219141,0.02433773726224899,52.5,0.9271451026201248,0.00837167575955391,0.7635,0.08574999999999999,nan,0.10526453273126307,100.0,100.0,1.0000000566244125,1.0000000566244125
animals,stored_40_seed_0,0,random_storage_curve,vit_base_patch16_224,cls,layer_6,40,80,2.5,occlusion,occ0.5_dnoise0,5.0,2,0.5,0.3,6,0.05,0.0,100.0,0.9728539660573006,0.016344943642616273,22.5,0.9508314579725266,-0.012067807465791702,0.5262499999999999,0.32299999999999995,nan,0.28781926605807334,100.0,100.0,1.0000000476837159,1.0000000476837159
animals,stored_40_seed_1,1,random_storage_curve,vit_base_patch16_224,cls,layer_0,40,80,2.5,occlusion,occ0.5_dnoise0,5.0,2,0.5,0.3,6,0.05,0.0,7.5,0.9998704999685287,-7.512569427490235e-05,3.75,0.9997479610145092,-0.000189150869846344,0.25075,0.56021875,nan,0.14354816418179295,100.0,100.0,1.0000000327825547,1.0000000327825547
animals,stored_40_seed_1,1,random_storage_curve,vit_base_patch16_224,cls,layer_11,40,80,2.5,occlusion,occ0.5_dnoise0,5.0,2,0.5,0.3,6,0.05,0.0,90.0,0.9378766790032387,0.0251079723238945,50.0,0.9264920629560948,0.005786299705505371,0.6956249999999999,0.11534375000000004,nan,0.10526453273126307,100.0,100.0,1.0000000655651093,1.0000000655651093
animals,stored_40_seed_1,1,random_storage_curve,vit_base_patch16_224,cls,layer_6,40,80,2.5,occlusion,occ0.5_dnoise0,5.0,2,0.5,0.3,6,0.05,0.0,100.0,0.974310103058815,0.01665825992822647,15.0,0.9482699528336525,-0.015070226788520814,0.476,0.33496875,nan,0.28781926605807334,100.0,100.0,1.0000000506639481,1.0000000506639481
animals,stored_40_seed_2,2,random_storage_curve,vit_base_patch16_224,cls,layer_0,40,80,2.5,occlusion,occ0.5_dnoise0,5.0,2,0.5,0.3,6,0.05,0.0,7.5,0.9998653903603554,-8.389204740524291e-05,6.25,0.9997794710099697,-0.0001560702919960022,0.27625,0.5553437499999999,nan,0.14354816418179295,100.0,100.0,1.00000002682209,1.00000002682209
animals,stored_40_seed_2,2,random_storage_curve,vit_base_patch16_224,cls,layer_11,40,80,2.5,occlusion,occ0.5_dnoise0,5.0,2,0.5,0.3,6,0.05,0.0,90.0,0.9299165233969688,0.01575120985507965,48.75,0.9225171402096748,0.0020898841321468353,0.726625,0.10496875000000001,nan,0.10526453273126307,100.0,100.0,1.0000000685453414,1.0000000685453414
animals,stored_40_seed_2,2,random_storage_curve,vit_base_patch16_224,cls,layer_6,40,80,2.5,occlusion,occ0.5_dnoise0,5.0,2,0.5,0.3,6,0.05,0.0,100.0,0.9715415731072425,0.01460520625114441,10.0,0.9484756857156753,-0.01593935042619705,0.48631250000000004,0.34528125000000004,nan,0.28781926605807334,100.0,100.0,1.0000000476837159,1.0000000476837159
animals,stored_40_seed_3,3,random_storage_curve,vit_base_patch16_224,cls,layer_0,40,80,2.5,occlusion,occ0.5_dnoise0,5.0,2,0.5,0.3,6,0.05,0.0,7.5,0.9998618707060813,-8.160322904586792e-05,3.75,0.999773208796978,-0.00015854686498641967,0.267625,0.5885,nan,0.14354816418179295,100.0,100.0,1.0000000417232513,1.0000000417232513
