setting_name,split_label,split_seed,model_name,pooling,layer,dam_n,dam_beta,dam_alpha,dam_lmbda,dam_steps_multiplier,n_stored,n_probe,decision_noise_std,corruption_mode,noise_std,max_shift,occlusion_frac,neurons,ident_accuracy,gen_accuracy
easy_s80,stored_80_seed_1,1,vit_base_patch16_224,cls,layer_5,6,0.02,0.1,0.05,2,80,40,0.0,noise_shift,5.0,2,0.0,768,98.75,5.0
easy_s80,stored_80_seed_1,1,vit_base_patch16_224,cls,layer_6,6,0.02,0.1,0.05,2,80,40,0.0,noise_shift,5.0,2,0.0,768,100.0,12.5
easy_s80,stored_80_seed_1,1,vit_base_patch16_224,cls,layer_7,6,0.02,0.1,0.05,2,80,40,0.0,noise_shift,5.0,2,0.0,768,100.0,22.5
easy_s80,stored_80_seed_1,1,vit_base_patch16_224,cls,layer_8,6,0.02,0.1,0.05,2,80,40,0.0,noise_shift,5.0,2,0.0,768,100.0,30.0
easy_s80,stored_80_seed_1,1,vit_base_patch16_224,cls,layer_9,6,0.02,0.1,0.05,2,80,40,0.0,noise_shift,5.0,2,0.0,768,100.0,40.0
easy_s80,stored_80_seed_1,1,vit_base_patch16_224,cls,layer_10,6,0.02,0.1,0.05,2,80,40,0.0,noise_shift,5.0,2,0.0,768,100.0,65.0
easy_s80,stored_80_seed_1,1,vit_base_patch16_224,cls,layer_11,6,0.02,0.1,0.05,2,80,40,0.0,noise_shift,5.0,2,0.0,768,100.0,70.0
easy_s80,stored_80_seed_1,1,vit_base_patch16_224,cls,layer_0,8,0.02,0.1,0.05,2,80,40,0.0,noise_shift,5.0,2,0.0,768,100.0,5.0
easy_s80,stored_80_seed_1,1,vit_base_patch16_224,cls,layer_1,8,0.02,0.1,0.05,2,80,40,0.0,noise_shift,5.0,2,0.0,768,100.0,5.0
easy_s80,stored_80_seed_1,1,vit_base_patch16_224,cls,layer_2,8,0.02,0.1,0.05,2,80,40,0.0,noise_shift,5.0,2,0.0,768,98.75,7.5
easy_s80,stored_80_seed_1,1,vit_base_patch16_224,cls,layer_3,8,0.02,0.1,0.05,2,80,40,0.0,noise_shift,5.0,2,0.0,768,93.75,7.5
easy_s80,stored_80_seed_1,1,vit_base_patch16_224,cls,layer_4,8,0.02,0.1,0.05,2,80,40,0.0,noise_shift,5.0,2,0.0,768,95.0,7.5
easy_s80,stored_80_seed_1,1,vit_base_patch16_224,cls,layer_5,8,0.02,0.1,0.05,2,80,40,0.0,noise_shift,5.0,2,0.0,768,98.75,7.5
easy_s80,stored_80_seed_1,1,vit_base_patch16_224,cls,layer_6,8,0.02,0.1,0.05,2,80,40,0.0,noise_shift,5.0,2,0.0,768,98.75,12.5
easy_s80,stored_80_seed_1,1,vit_base_patch16_224,cls,layer_7,8,0.02,0.1,0.05,2,80,40,0.0,noise_shift,5.0,2,0.0,768,100.0,20.0
easy_s80,stored_80_seed_1,1,vit_base_patch16_224,cls,layer_8,8,0.02,0.1,0.05,2,80,40,0.0,noise_shift,5.0,2,0.0,768,100.0,30.0
easy_s80,stored_80_seed_1,1,vit_base_patch16_224,cls,layer_9,8,0.02,0.1,0.05,2,80,40,0.0,noise_shift,5.0,2,0.0,768,100.0,45.0
easy_s80,stored_80_seed_1,1,vit_base_patch16_224,cls,layer_10,8,0.02,0.1,0.05,2,80,40,0.0,noise_shift,5.0,2,0.0,768,100.0,65.0
easy_s80,stored_80_seed_1,1,vit_base_patch16_224,cls,layer_11,8,0.02,0.1,0.05,2,80,40,0.0,noise_shift,5.0,2,0.0,768,100.0,72.5
easy_s80,stored_80_seed_1,1,vit_base_patch16_clip_224.openai,cls,layer_0,2,0.02,0.1,0.05,2,80,40,0.0,noise_shift,5.0,2,0.0,768,100.0,0.0
easy_s80,stored_80_seed_1,1,vit_base_patch16_clip_224.openai,cls,layer_1,2,0.02,0.1,0.05,2,80,40,0.0,noise_shift,5.0,2,0.0,768,95.0,2.5
easy_s80,stored_80_seed_1,1,vit_base_patch16_clip_224.openai,cls,layer_2,2,0.02,0.1,0.05,2,80,40,0.0,noise_shift,5.0,2,0.0,768,47.5,7.5
easy_s80,stored_80_seed_1,1,vit_base_patch16_clip_224.openai,cls,layer_3,2,0.02,0.1,0.05,2,80,40,0.0,noise_shift,5.0,2,0.0,768,25.0,5.0
easy_s80,stored_80_seed_1,1,vit_base_patch16_clip_224.openai,cls,layer_4,2,0.02,0.1,0.05,2,80,40,0.0,noise_shift,5.0,2,0.0,768,12.5,5.0
