setting_name,split_label,split_seed,model_name,pooling,layer,n_stored,n_probe,decision_noise_std,corruption_mode,noise_std,max_shift,occlusion_frac,mean_pairwise_cosine_similarity,mean_pairwise_cosine_distance,pairwise_cosine_similarity_std,pairwise_cosine_distance_std,ident_accuracy,gen_accuracy
occ50_dnoise001_s100,stored_100_seed_0,0,vit_base_patch16_224,cls,layer_0,100,20,0.01,occlusion,5.0,2,0.5,0.9997290987918205,0.00027090120817948194,0.00019303711502930486,0.00019303711502930486,0.0,0.0
occ50_dnoise001_s100,stored_100_seed_0,0,vit_base_patch16_224,cls,layer_1,100,20,0.01,occlusion,5.0,2,0.5,0.9977824086125981,0.0022175913874018342,0.001059182396276603,0.001059182396276603,0.0,0.0
occ50_dnoise001_s100,stored_100_seed_0,0,vit_base_patch16_224,cls,layer_2,100,20,0.01,occlusion,5.0,2,0.5,0.9970584755222959,0.002941524477703994,0.0012107749900762237,0.0012107749900762237,0.0,0.0
occ50_dnoise001_s100,stored_100_seed_0,0,vit_base_patch16_224,cls,layer_3,100,20,0.01,occlusion,5.0,2,0.5,0.9934892475141451,0.006510752485854853,0.0021309807049239068,0.0021309807049239068,1.0,0.0
occ50_dnoise001_s100,stored_100_seed_0,0,vit_base_patch16_224,cls,layer_4,100,20,0.01,occlusion,5.0,2,0.5,0.9844012387237767,0.015598761276223281,0.0057453482576154905,0.0057453482576154905,9.0,5.0
occ50_dnoise001_s100,stored_100_seed_0,0,vit_base_patch16_224,cls,layer_5,100,20,0.01,occlusion,5.0,2,0.5,0.9646611444596104,0.0353388555403897,0.010124710243268185,0.010124710243268184,35.0,5.0
occ50_dnoise001_s100,stored_100_seed_0,0,vit_base_patch16_224,cls,layer_6,100,20,0.01,occlusion,5.0,2,0.5,0.9365057228581203,0.06349427714187975,0.017428975968029718,0.017428975968029718,55.00000000000001,5.0
occ50_dnoise001_s100,stored_100_seed_0,0,vit_base_patch16_224,cls,layer_7,100,20,0.01,occlusion,5.0,2,0.5,0.949868627300035,0.0501313726999649,0.011812357762153032,0.011812357762153032,31.0,15.0
occ50_dnoise001_s100,stored_100_seed_0,0,vit_base_patch16_224,cls,layer_8,100,20,0.01,occlusion,5.0,2,0.5,0.95495577327742,0.04504422672258005,0.00820281358334467,0.00820281358334467,21.0,25.0
occ50_dnoise001_s100,stored_100_seed_0,0,vit_base_patch16_224,cls,layer_9,100,20,0.01,occlusion,5.0,2,0.5,0.9484698987739457,0.051530101226054274,0.009234175090322448,0.009234175090322448,35.0,45.0
occ50_dnoise001_s100,stored_100_seed_0,0,vit_base_patch16_224,cls,layer_10,100,20,0.01,occlusion,5.0,2,0.5,0.8543522447380552,0.14564775526194496,0.03568795692148359,0.0356879569214836,57.99999999999999,45.0
occ50_dnoise001_s100,stored_100_seed_0,0,vit_base_patch16_224,cls,layer_11,100,20,0.01,occlusion,5.0,2,0.5,0.8785464856710038,0.12145351432899625,0.022326584072052753,0.022326584072052753,67.0,50.0
occ50_dnoise001_s100,stored_100_seed_0,0,vit_base_patch16_clip_224.openai,cls,layer_0,100,20,0.01,occlusion,5.0,2,0.5,0.9958317312896274,0.004168268710372494,0.002245744438610166,0.002245744438610166,1.0,0.0
occ50_dnoise001_s100,stored_100_seed_0,0,vit_base_patch16_clip_224.openai,cls,layer_1,100,20,0.01,occlusion,5.0,2,0.5,0.9956974140681019,0.004302585931898187,0.0017693376631572764,0.0017693376631572764,1.0,0.0
occ50_dnoise001_s100,stored_100_seed_0,0,vit_base_patch16_clip_224.openai,cls,layer_2,100,20,0.01,occlusion,5.0,2,0.5,0.9882815489445255,0.011718451055474548,0.004502912580201781,0.004502912580201781,5.0,0.0
occ50_dnoise001_s100,stored_100_seed_0,0,vit_base_patch16_clip_224.openai,cls,layer_3,100,20,0.01,occlusion,5.0,2,0.5,0.977540887507356,0.022459112492644012,0.007422569706961189,0.007422569706961189,15.0,0.0
occ50_dnoise001_s100,stored_100_seed_0,0,vit_base_patch16_clip_224.openai,cls,layer_4,100,20,0.01,occlusion,5.0,2,0.5,0.9527799746380395,0.04722002536196037,0.016013184214772404,0.016013184214772408,51.0,0.0
occ50_dnoise001_s100,stored_100_seed_0,0,vit_base_patch16_clip_224.openai,cls,layer_5,100,20,0.01,occlusion,5.0,2,0.5,0.9182058927336536,0.08179410726634632,0.02528119030055046,0.02528119030055046,90.0,10.0
occ50_dnoise001_s100,stored_100_seed_0,0,vit_base_patch16_clip_224.openai,cls,layer_6,100,20,0.01,occlusion,5.0,2,0.5,0.899293994743028,0.10070600525697208,0.02641780871573325,0.02641780871573325,96.0,5.0
occ50_dnoise001_s100,stored_100_seed_0,0,vit_base_patch16_clip_224.openai,cls,layer_7,100,20,0.01,occlusion,5.0,2,0.5,0.9124936466661415,0.0875063533338585,0.020859859056853725,0.020859859056853728,85.0,5.0
occ50_dnoise001_s100,stored_100_seed_0,0,vit_base_patch16_clip_224.openai,cls,layer_8,100,20,0.01,occlusion,5.0,2,0.5,0.9373823785314574,0.06261762146854259,0.014701303818778095,0.014701303818778093,55.00000000000001,5.0
occ50_dnoise001_s100,stored_100_seed_0,0,vit_base_patch16_clip_224.openai,cls,layer_9,100,20,0.01,occlusion,5.0,2,0.5,0.9479462330673077,0.052053766932692334,0.0115039294068079,0.0115039294068079,24.0,5.0
occ50_dnoise001_s100,stored_100_seed_0,0,vit_base_patch16_clip_224.openai,cls,layer_10,100,20,0.01,occlusion,5.0,2,0.5,0.8820525709063025,0.11794742909369757,0.030257477306469986,0.030257477306469986,23.0,30.0
occ50_dnoise001_s100,stored_100_seed_0,0,vit_base_patch16_clip_224.openai,cls,layer_11,100,20,0.01,occlusion,5.0,2,0.5,0.555748273977929,0.44425172602207097,0.08089915045228392,0.08089915045228392,42.0,40.0
occ50_dnoise001_s100,stored_100_seed_1,1,vit_base_patch16_224,cls,layer_0,100,20,0.01,occlusion,5.0,2,0.5,0.9997299892402537,0.0002700107597463342,0.000199632401481047,0.000199632401481047,2.0,0.0
occ50_dnoise001_s100,stored_100_seed_1,1,vit_base_patch16_224,cls,layer_1,100,20,0.01,occlusion,5.0,2,0.5,0.9977704636353758,0.0022295363646243206,0.001094427835642923,0.001094427835642923,1.0,0.0
occ50_dnoise001_s100,stored_100_seed_1,1,vit_base_patch16_224,cls,layer_2,100,20,0.01,occlusion,5.0,2,0.5,0.9970528951621468,0.0029471048378533725,0.0012355371129598532,0.0012355371129598532,3.0,0.0
occ50_dnoise001_s100,stored_100_seed_1,1,vit_base_patch16_224,cls,layer_3,100,20,0.01,occlusion,5.0,2,0.5,0.993502617498743,0.006497382501257163,0.002163211127767103,0.0021632111277671024,6.0,0.0
occ50_dnoise001_s100,stored_100_seed_1,1,vit_base_patch16_224,cls,layer_4,100,20,0.01,occlusion,5.0,2,0.5,0.9846128065190606,0.015387193480939436,0.005658690575346586,0.005658690575346586,10.0,0.0
occ50_dnoise001_s100,stored_100_seed_1,1,vit_base_patch16_224,cls,layer_5,100,20,0.01,occlusion,5.0,2,0.5,0.965125400535678,0.03487459946432204,0.009855598005845765,0.009855598005845765,30.0,0.0
occ50_dnoise001_s100,stored_100_seed_1,1,vit_base_patch16_224,cls,layer_6,100,20,0.01,occlusion,5.0,2,0.5,0.9371945588150673,0.06280544118493257,0.0170076006666347,0.0170076006666347,53.0,0.0
occ50_dnoise001_s100,stored_100_seed_1,1,vit_base_patch16_224,cls,layer_7,100,20,0.01,occlusion,5.0,2,0.5,0.9500982035987903,0.04990179640120965,0.011377778916548544,0.011377778916548542,28.000000000000004,0.0
occ50_dnoise001_s100,stored_100_seed_1,1,vit_base_patch16_224,cls,layer_8,100,20,0.01,occlusion,5.0,2,0.5,0.9554138580807877,0.04458614191921223,0.00829357984462913,0.00829357984462913,23.0,5.0
occ50_dnoise001_s100,stored_100_seed_1,1,vit_base_patch16_224,cls,layer_9,100,20,0.01,occlusion,5.0,2,0.5,0.9487278989672957,0.05127210103270432,0.009523736781461274,0.009523736781461274,26.0,10.0
occ50_dnoise001_s100,stored_100_seed_1,1,vit_base_patch16_224,cls,layer_10,100,20,0.01,occlusion,5.0,2,0.5,0.8546998769333276,0.14530012306667253,0.037204253295407975,0.03720425329540797,62.0,45.0
occ50_dnoise001_s100,stored_100_seed_1,1,vit_base_patch16_224,cls,layer_11,100,20,0.01,occlusion,5.0,2,0.5,0.8811049490723827,0.11889505092761737,0.02314868696558015,0.02314868696558015,66.0,45.0
occ50_dnoise001_s100,stored_100_seed_1,1,vit_base_patch16_clip_224.openai,cls,layer_0,100,20,0.01,occlusion,5.0,2,0.5,0.9957915509495281,0.004208449050471974,0.002510236538435811,0.0025102365384358115,1.0,0.0
