setting_name,split_label,split_seed,model_name,pooling,layer,n_stored,n_probe,decision_noise_std,corruption_mode,noise_std,max_shift,occlusion_frac,mean_pairwise_cosine_similarity,mean_pairwise_cosine_distance,pairwise_cosine_similarity_std,pairwise_cosine_distance_std,ident_accuracy,gen_accuracy
occ50_dnoise001_s80,stored_80_seed_1,1,vit_base_patch16_224,cls,layer_2,80,40,0.01,occlusion,5.0,2,0.5,0.9971104389232408,0.0028895610767591495,0.001273617624924007,0.001273617624924007,2.5,0.0
occ50_dnoise001_s80,stored_80_seed_1,1,vit_base_patch16_224,cls,layer_3,80,40,0.01,occlusion,5.0,2,0.5,0.9935897569380255,0.006410243061974548,0.002195914965506935,0.002195914965506935,5.0,2.5
occ50_dnoise001_s80,stored_80_seed_1,1,vit_base_patch16_224,cls,layer_4,80,40,0.01,occlusion,5.0,2,0.5,0.9846291064708349,0.01537089352916513,0.005777680961667263,0.005777680961667263,7.5,5.0
occ50_dnoise001_s80,stored_80_seed_1,1,vit_base_patch16_224,cls,layer_5,80,40,0.01,occlusion,5.0,2,0.5,0.9648592491942247,0.03514075080577513,0.010422907569468629,0.010422907569468629,33.75,5.0
occ50_dnoise001_s80,stored_80_seed_1,1,vit_base_patch16_224,cls,layer_6,80,40,0.01,occlusion,5.0,2,0.5,0.9373775771229025,0.06262242287709754,0.017310847697939696,0.017310847697939696,56.25,7.5
occ50_dnoise001_s80,stored_80_seed_1,1,vit_base_patch16_224,cls,layer_7,80,40,0.01,occlusion,5.0,2,0.5,0.9500706773946982,0.04992932260530183,0.0114453321185385,0.0114453321185385,33.75,10.0
occ50_dnoise001_s80,stored_80_seed_1,1,vit_base_patch16_224,cls,layer_8,80,40,0.01,occlusion,5.0,2,0.5,0.9551498563971514,0.044850143602848475,0.008419743844191132,0.008419743844191132,25.0,15.0
occ50_dnoise001_s80,stored_80_seed_1,1,vit_base_patch16_224,cls,layer_9,80,40,0.01,occlusion,5.0,2,0.5,0.9482610299006516,0.051738970099348275,0.009186350161843557,0.009186350161843557,27.500000000000004,22.5
occ50_dnoise001_s80,stored_80_seed_1,1,vit_base_patch16_224,cls,layer_10,80,40,0.01,occlusion,5.0,2,0.5,0.8567304953634486,0.1432695046365514,0.037498267398276906,0.037498267398276906,66.25,62.5
occ50_dnoise001_s80,stored_80_seed_1,1,vit_base_patch16_224,cls,layer_11,80,40,0.01,occlusion,5.0,2,0.5,0.8815703375189451,0.11842966248105483,0.023204390328797852,0.023204390328797852,67.5,65.0
occ50_dnoise001_s80,stored_80_seed_1,1,vit_base_patch16_clip_224.openai,cls,layer_0,80,40,0.01,occlusion,5.0,2,0.5,0.9960648456582496,0.003935154341750463,0.002196150507715415,0.002196150507715415,2.5,0.0
occ50_dnoise001_s80,stored_80_seed_1,1,vit_base_patch16_clip_224.openai,cls,layer_1,80,40,0.01,occlusion,5.0,2,0.5,0.9959053233486537,0.004094676651346374,0.0018243953077875692,0.001824395307787569,2.5,0.0
occ50_dnoise001_s80,stored_80_seed_1,1,vit_base_patch16_clip_224.openai,cls,layer_2,80,40,0.01,occlusion,5.0,2,0.5,0.988528504175474,0.011471495824525935,0.004648237822394217,0.004648237822394217,6.25,0.0
occ50_dnoise001_s80,stored_80_seed_1,1,vit_base_patch16_clip_224.openai,cls,layer_3,80,40,0.01,occlusion,5.0,2,0.5,0.9775973863814641,0.022402613618535974,0.007874164781119347,0.007874164781119347,16.25,2.5
occ50_dnoise001_s80,stored_80_seed_1,1,vit_base_patch16_clip_224.openai,cls,layer_4,80,40,0.01,occlusion,5.0,2,0.5,0.9532057224608578,0.04679427753914233,0.016152703425226858,0.016152703425226858,53.75,5.0
occ50_dnoise001_s80,stored_80_seed_1,1,vit_base_patch16_clip_224.openai,cls,layer_5,80,40,0.01,occlusion,5.0,2,0.5,0.9183346964184825,0.08166530358151751,0.024176927113361325,0.024176927113361325,95.0,2.5
occ50_dnoise001_s80,stored_80_seed_1,1,vit_base_patch16_clip_224.openai,cls,layer_6,80,40,0.01,occlusion,5.0,2,0.5,0.9001791237368816,0.09982087626311839,0.024669424318201592,0.02466942431820159,100.0,0.0
occ50_dnoise001_s80,stored_80_seed_1,1,vit_base_patch16_clip_224.openai,cls,layer_7,80,40,0.01,occlusion,5.0,2,0.5,0.9109208714991874,0.08907912850081244,0.021871622583826994,0.021871622583826994,82.5,0.0
occ50_dnoise001_s80,stored_80_seed_1,1,vit_base_patch16_clip_224.openai,cls,layer_8,80,40,0.01,occlusion,5.0,2,0.5,0.937559772768182,0.06244022723181806,0.015108763839669907,0.015108763839669907,56.25,0.0
occ50_dnoise001_s80,stored_80_seed_1,1,vit_base_patch16_clip_224.openai,cls,layer_9,80,40,0.01,occlusion,5.0,2,0.5,0.9489016510749986,0.05109834892500136,0.011244573425014366,0.011244573425014366,31.25,7.5
occ50_dnoise001_s80,stored_80_seed_1,1,vit_base_patch16_clip_224.openai,cls,layer_10,80,40,0.01,occlusion,5.0,2,0.5,0.8817947659799789,0.11820523402002127,0.030236982375939078,0.030236982375939078,25.0,20.0
occ50_dnoise001_s80,stored_80_seed_1,1,vit_base_patch16_clip_224.openai,cls,layer_11,80,40,0.01,occlusion,5.0,2,0.5,0.5578729274384033,0.44212707256159667,0.08249192421509706,0.08249192421509706,45.0,57.49999999999999
occ50_dnoise001_s80,stored_80_seed_2,2,vit_base_patch16_224,cls,layer_0,80,40,0.01,occlusion,5.0,2,0.5,0.9997491140380215,0.000250885961978532,0.00019491420610936975,0.00019491420610936975,2.5,7.5
occ50_dnoise001_s80,stored_80_seed_2,2,vit_base_patch16_224,cls,layer_1,80,40,0.01,occlusion,5.0,2,0.5,0.9978642870690299,0.0021357129309700564,0.0010531765542525961,0.0010531765542525961,2.5,5.0
occ50_dnoise001_s80,stored_80_seed_2,2,vit_base_patch16_224,cls,layer_2,80,40,0.01,occlusion,5.0,2,0.5,0.997116443080488,0.0028835569195121017,0.0012388880115702034,0.0012388880115702032,2.5,5.0
occ50_dnoise001_s80,stored_80_seed_2,2,vit_base_patch16_224,cls,layer_3,80,40,0.01,occlusion,5.0,2,0.5,0.9934766092466543,0.006523390753345779,0.002254577665628914,0.002254577665628914,3.75,5.0
occ50_dnoise001_s80,stored_80_seed_2,2,vit_base_patch16_224,cls,layer_4,80,40,0.01,occlusion,5.0,2,0.5,0.9843925120951081,0.015607487904891948,0.00597124294454543,0.005971242944545429,12.5,7.5
occ50_dnoise001_s80,stored_80_seed_2,2,vit_base_patch16_224,cls,layer_5,80,40,0.01,occlusion,5.0,2,0.5,0.9649644366149508,0.035035563385049075,0.010275978172345547,0.010275978172345547,38.75,5.0
