kind,setting_name,model_name,dam_n,distance_rank,layer,mean_pairwise_cosine_distance_mean,gen_accuracy_mean,ident_accuracy_mean
dam,occ50_dnoise001_s80,vit_base_patch16_224,6,9,layer_6,0.06299240341879755,11.0,98.75
dam,occ50_dnoise001_s80,vit_base_patch16_224,6,10,layer_11,0.11877556546034522,62.0,91.0
dam,occ50_dnoise001_s80,vit_base_patch16_224,6,11,layer_10,0.14307485728211136,60.0,94.5
dam,occ50_dnoise001_s80,vit_base_patch16_224,8,0,layer_0,0.00025340406601792576,2.5,7.0
dam,occ50_dnoise001_s80,vit_base_patch16_224,8,1,layer_1,0.002165676870368395,4.0,10.75
dam,occ50_dnoise001_s80,vit_base_patch16_224,8,2,layer_2,0.002898296067907495,4.0,16.0
dam,occ50_dnoise001_s80,vit_base_patch16_224,8,3,layer_3,0.006474983635747561,7.5,60.75
dam,occ50_dnoise001_s80,vit_base_patch16_224,8,4,layer_4,0.015440612175602603,9.0,93.0
dam,occ50_dnoise001_s80,vit_base_patch16_224,8,5,layer_5,0.03505733334640502,9.0,99.5
dam,occ50_dnoise001_s80,vit_base_patch16_224,8,6,layer_8,0.04473657477852189,27.0,96.0
dam,occ50_dnoise001_s80,vit_base_patch16_224,8,7,layer_7,0.05012791833446295,18.0,98.5
dam,occ50_dnoise001_s80,vit_base_patch16_224,8,8,layer_9,0.051364563794427165,46.5,95.25
dam,occ50_dnoise001_s80,vit_base_patch16_224,8,9,layer_6,0.06299240341879755,11.5,98.75
dam,occ50_dnoise001_s80,vit_base_patch16_224,8,10,layer_11,0.11877556546034522,62.5,91.0
dam,occ50_dnoise001_s80,vit_base_patch16_224,8,11,layer_10,0.14307485728211136,60.5,94.5
dam,occ50_dnoise001_s80,vit_base_patch16_clip_224.openai,2,0,layer_0,0.0041452764622409545,3.5,2.75
dam,occ50_dnoise001_s80,vit_base_patch16_clip_224.openai,2,1,layer_1,0.004264526728543378,5.0,12.25
dam,occ50_dnoise001_s80,vit_base_patch16_clip_224.openai,2,2,layer_2,0.011685380041813043,8.5,56.0
dam,occ50_dnoise001_s80,vit_base_patch16_clip_224.openai,2,3,layer_3,0.022585480551770207,6.0,91.0
dam,occ50_dnoise001_s80,vit_base_patch16_clip_224.openai,2,4,layer_4,0.046926656827447684,8.0,98.75
dam,occ50_dnoise001_s80,vit_base_patch16_clip_224.openai,2,5,layer_9,0.05191352354543745,9.5,48.25
dam,occ50_dnoise001_s80,vit_base_patch16_clip_224.openai,2,6,layer_8,0.06284427268347667,3.5,83.0
dam,occ50_dnoise001_s80,vit_base_patch16_clip_224.openai,2,7,layer_5,0.08151550115899317,5.0,99.75
dam,occ50_dnoise001_s80,vit_base_patch16_clip_224.openai,2,8,layer_7,0.08873193891148354,4.0,99.25
dam,occ50_dnoise001_s80,vit_base_patch16_clip_224.openai,2,9,layer_6,0.09995758587000672,2.0,100.0
dam,occ50_dnoise001_s80,vit_base_patch16_clip_224.openai,2,10,layer_10,0.11812006553996397,23.0,37.75
dam,occ50_dnoise001_s80,vit_base_patch16_clip_224.openai,2,11,layer_11,0.44180558684802873,54.5,46.25
dam,occ50_dnoise001_s80,vit_base_patch16_clip_224.openai,4,0,layer_0,0.0041452764622409545,3.0,2.5
dam,occ50_dnoise001_s80,vit_base_patch16_clip_224.openai,4,1,layer_1,0.004264526728543378,5.0,13.5
dam,occ50_dnoise001_s80,vit_base_patch16_clip_224.openai,4,2,layer_2,0.011685380041813043,8.5,56.0
dam,occ50_dnoise001_s80,vit_base_patch16_clip_224.openai,4,3,layer_3,0.022585480551770207,6.5,90.75
dam,occ50_dnoise001_s80,vit_base_patch16_clip_224.openai,4,4,layer_4,0.046926656827447684,7.5,99.0
dam,occ50_dnoise001_s80,vit_base_patch16_clip_224.openai,4,5,layer_9,0.05191352354543745,10.0,49.0
dam,occ50_dnoise001_s80,vit_base_patch16_clip_224.openai,4,6,layer_8,0.06284427268347667,4.5,84.0
dam,occ50_dnoise001_s80,vit_base_patch16_clip_224.openai,4,7,layer_5,0.08151550115899317,5.0,99.75
dam,occ50_dnoise001_s80,vit_base_patch16_clip_224.openai,4,8,layer_7,0.08873193891148354,4.5,99.25
dam,occ50_dnoise001_s80,vit_base_patch16_clip_224.openai,4,9,layer_6,0.09995758587000672,2.0,100.0
dam,occ50_dnoise001_s80,vit_base_patch16_clip_224.openai,4,10,layer_10,0.11812006553996397,22.5,37.5
dam,occ50_dnoise001_s80,vit_base_patch16_clip_224.openai,4,11,layer_11,0.44180558684802873,55.0,45.5
dam,occ50_dnoise001_s80,vit_base_patch16_clip_224.openai,6,0,layer_0,0.0041452764622409545,3.0,3.25
dam,occ50_dnoise001_s80,vit_base_patch16_clip_224.openai,6,1,layer_1,0.004264526728543378,5.0,13.75
dam,occ50_dnoise001_s80,vit_base_patch16_clip_224.openai,6,2,layer_2,0.011685380041813043,9.0,57.0
dam,occ50_dnoise001_s80,vit_base_patch16_clip_224.openai,6,3,layer_3,0.022585480551770207,7.0,90.75
dam,occ50_dnoise001_s80,vit_base_patch16_clip_224.openai,6,4,layer_4,0.046926656827447684,7.5,98.75
dam,occ50_dnoise001_s80,vit_base_patch16_clip_224.openai,6,5,layer_9,0.05191352354543745,10.0,48.25
