setting_name,model_name,pooling,layer,dam_n,dam_beta,dam_alpha,dam_lmbda,dam_steps_multiplier,n_stored,n_probe,decision_noise_std,corruption_mode,noise_std,max_shift,occlusion_frac,neurons,n_splits,ident_accuracy_mean,ident_accuracy_std,gen_accuracy_mean,gen_accuracy_std
hard_s80,vit_base_patch16_224,cls,layer_0,2,0.02,0.1,0.05,2,80,40,0.01,noise_shift_occlusion,5.0,2,0.5,768,5,6.0,2.1505813167606567,2.0,2.449489742783178
hard_s80,vit_base_patch16_224,cls,layer_1,2,0.02,0.1,0.05,2,80,40,0.01,noise_shift_occlusion,5.0,2,0.5,768,5,9.25,1.0,4.0,2.0
hard_s80,vit_base_patch16_224,cls,layer_2,2,0.02,0.1,0.05,2,80,40,0.01,noise_shift_occlusion,5.0,2,0.5,768,5,13.25,2.318404623873926,3.5,3.0
hard_s80,vit_base_patch16_224,cls,layer_3,2,0.02,0.1,0.05,2,80,40,0.01,noise_shift_occlusion,5.0,2,0.5,768,5,36.75,5.947688626685159,7.0,1.8708286933869707
hard_s80,vit_base_patch16_224,cls,layer_4,2,0.02,0.1,0.05,2,80,40,0.01,noise_shift_occlusion,5.0,2,0.5,768,5,47.5,4.609772228646443,9.5,2.9154759474226504
hard_s80,vit_base_patch16_224,cls,layer_5,2,0.02,0.1,0.05,2,80,40,0.01,noise_shift_occlusion,5.0,2,0.5,768,5,69.75,2.5495097567963922,8.5,4.636809247747852
hard_s80,vit_base_patch16_224,cls,layer_6,2,0.02,0.1,0.05,2,80,40,0.01,noise_shift_occlusion,5.0,2,0.5,768,5,57.25,9.981232388838565,12.0,3.3166247903554
hard_s80,vit_base_patch16_224,cls,layer_7,2,0.02,0.1,0.05,2,80,40,0.01,noise_shift_occlusion,5.0,2,0.5,768,5,71.25,7.86606636127614,18.0,4.0
hard_s80,vit_base_patch16_224,cls,layer_8,2,0.02,0.1,0.05,2,80,40,0.01,noise_shift_occlusion,5.0,2,0.5,768,5,82.0,2.9154759474226504,28.0,4.847679857416329
hard_s80,vit_base_patch16_224,cls,layer_9,2,0.02,0.1,0.05,2,80,40,0.01,noise_shift_occlusion,5.0,2,0.5,768,5,86.5,2.0,46.0,3.0
hard_s80,vit_base_patch16_224,cls,layer_10,2,0.02,0.1,0.05,2,80,40,0.01,noise_shift_occlusion,5.0,2,0.5,768,5,90.75,0.6123724356957945,60.5,4.847679857416329
