category,model_name,pooling,layer,ident_accuracy,gen_accuracy,gen_avg_margin,gen_avg_retrieved_human_similarity,gen_avg_human_similarity_regret,gen_same_concept_accuracy,human_rdm_spearman,chance_accuracy
fruits,vit_base_patch16_224,cls,layer_0,100.0,3.3333333333333335,-0.0002730761965115865,0.2746666666666666,0.5327870366666667,5.833333333333333,0.12710516906021016,1.25
fruits,vit_base_patch16_224,cls,layer_11,100.0,44.166666666666664,-0.01000175525744756,0.70525,0.10220370333333334,82.5,0.2637855706754182,1.25
fruits,vit_base_patch16_224,cls,layer_6,100.0,10.833333333333334,-0.017067817350228626,0.40974074083333334,0.3977129625,17.5,0.29780476572884856,1.25
fruits,vit_base_patch16_224,mean_tokens,layer_0,100.0,7.5,-0.031432820856571196,0.34137963000000004,0.46607407333333334,9.166666666666666,0.24912735628170676,1.25
fruits,vit_base_patch16_224,mean_tokens,layer_11,100.0,48.333333333333336,-0.01517755687236786,0.7019814816666666,0.10547222166666666,82.5,0.3381236118079249,1.25
fruits,vit_base_patch16_224,mean_tokens,layer_6,100.0,14.166666666666666,-0.06969738006591797,0.4582129625,0.34924074083333334,23.333333333333332,0.3793425080611413,1.25
fruits,convnext_tiny,auto,layer_0,99.16666666666667,14.166666666666666,-0.004892824093500774,0.3906388891666666,0.4168148141666666,16.666666666666668,0.18964198467740265,1.25
fruits,convnext_tiny,auto,layer_2,100.0,22.5,-0.0002215405305226644,0.5520092600000001,0.25544444333333327,39.166666666666664,0.37771508526430986,1.25
fruits,convnext_tiny,auto,layer_3,100.0,45.833333333333336,-0.03129912838339805,0.703185185,0.10426851833333334,80.0,0.2977461618573204,1.25
vegetables,vit_base_patch16_224,cls,layer_0,100.0,5.982905982905983,-0.00022794242598052719,0.32085470085470086,0.5016239316239317,7.6923076923076925,0.23029389802802058,1.2820512820512822
vegetables,vit_base_patch16_224,cls,layer_11,100.0,49.57264957264957,-0.007380731085426788,0.7310256410256409,0.09145299145299145,80.34188034188035,0.30382706992702646,1.2820512820512822
vegetables,vit_base_patch16_224,cls,layer_6,100.0,23.076923076923077,-0.012856805426442726,0.5099145299145299,0.31256410256410255,36.75213675213676,0.3546872985593518,1.2820512820512822
vegetables,vit_base_patch16_224,mean_tokens,layer_0,100.0,9.401709401709402,-0.02909041317100199,0.3903418803418804,0.4321367521367521,15.384615384615381,0.327618623779972,1.2820512820512822
vegetables,vit_base_patch16_224,mean_tokens,layer_11,100.0,46.15384615384615,-0.016579827182313316,0.7203418803418803,0.10213675213675212,77.77777777777777,0.31538918809066874,1.2820512820512822
vegetables,vit_base_patch16_224,mean_tokens,layer_6,100.0,23.931623931623932,-0.03796661562389798,0.5243589743589744,0.2981196581196581,42.735042735042725,0.4615419394796762,1.2820512820512822
vegetables,convnext_tiny,auto,layer_0,100.0,9.401709401709402,-0.004216903804713844,0.3786324786324786,0.44384615384615383,15.384615384615385,0.2846856611734142,1.2820512820512822
vegetables,convnext_tiny,auto,layer_2,100.0,32.478632478632484,-0.0001352898076049283,0.6028205128205127,0.21965811965811965,50.427350427350426,0.36834961040101,1.2820512820512822
vegetables,convnext_tiny,auto,layer_3,100.0,45.2991452991453,-0.03345773248081533,0.7303798675213674,0.09209876495726493,82.9059829059829,0.32149614849481123,1.2820512820512822
