kind,setting_name,model_name,dam_n,distance_rank,layer,mean_pairwise_cosine_distance_mean,gen_accuracy_mean,ident_accuracy_mean
dam,easy_s80,vit_base_patch16_224,8,6,layer_8,0.04473657477852189,26.0,100.0
dam,easy_s80,vit_base_patch16_224,8,7,layer_7,0.05012791833446295,17.0,100.0
dam,easy_s80,vit_base_patch16_224,8,8,layer_9,0.051364563794427165,47.0,100.0
dam,easy_s80,vit_base_patch16_224,8,9,layer_6,0.06299240341879755,12.0,98.75
dam,easy_s80,vit_base_patch16_224,8,10,layer_11,0.11877556546034522,63.5,100.0
dam,easy_s80,vit_base_patch16_224,8,11,layer_10,0.14307485728211136,61.0,100.0
dam,easy_s80,vit_base_patch16_clip_224.openai,2,0,layer_0,0.0041452764622409545,4.0,100.0
dam,easy_s80,vit_base_patch16_clip_224.openai,2,1,layer_1,0.004264526728543378,4.5,97.0
dam,easy_s80,vit_base_patch16_clip_224.openai,2,2,layer_2,0.011685380041813043,8.0,52.5
dam,easy_s80,vit_base_patch16_clip_224.openai,2,3,layer_3,0.022585480551770207,7.0,30.5
dam,easy_s80,vit_base_patch16_clip_224.openai,2,4,layer_4,0.046926656827447684,8.0,14.25
dam,easy_s80,vit_base_patch16_clip_224.openai,2,5,layer_9,0.05191352354543745,10.0,93.75
dam,easy_s80,vit_base_patch16_clip_224.openai,2,6,layer_8,0.06284427268347667,4.0,78.5
dam,easy_s80,vit_base_patch16_clip_224.openai,2,7,layer_5,0.08151550115899317,4.5,12.5
dam,easy_s80,vit_base_patch16_clip_224.openai,2,8,layer_7,0.08873193891148354,4.5,32.5
dam,easy_s80,vit_base_patch16_clip_224.openai,2,9,layer_6,0.09995758587000672,2.0,10.0
dam,easy_s80,vit_base_patch16_clip_224.openai,2,10,layer_10,0.11812006553996397,22.5,98.75
dam,easy_s80,vit_base_patch16_clip_224.openai,2,11,layer_11,0.44180558684802873,54.5,100.0
dam,easy_s80,vit_base_patch16_clip_224.openai,4,0,layer_0,0.0041452764622409545,4.0,100.0
dam,easy_s80,vit_base_patch16_clip_224.openai,4,1,layer_1,0.004264526728543378,4.5,96.75
dam,easy_s80,vit_base_patch16_clip_224.openai,4,2,layer_2,0.011685380041813043,9.0,53.25
dam,easy_s80,vit_base_patch16_clip_224.openai,4,3,layer_3,0.022585480551770207,7.0,31.25
dam,easy_s80,vit_base_patch16_clip_224.openai,4,4,layer_4,0.046926656827447684,8.0,14.0
dam,easy_s80,vit_base_patch16_clip_224.openai,4,5,layer_9,0.05191352354543745,10.0,94.0
dam,easy_s80,vit_base_patch16_clip_224.openai,4,6,layer_8,0.06284427268347667,4.0,78.25
dam,easy_s80,vit_base_patch16_clip_224.openai,4,7,layer_5,0.08151550115899317,5.0,12.25
dam,easy_s80,vit_base_patch16_clip_224.openai,4,8,layer_7,0.08873193891148354,4.0,32.5
dam,easy_s80,vit_base_patch16_clip_224.openai,4,9,layer_6,0.09995758587000672,2.0,9.75
dam,easy_s80,vit_base_patch16_clip_224.openai,4,10,layer_10,0.11812006553996397,22.5,98.75
dam,easy_s80,vit_base_patch16_clip_224.openai,4,11,layer_11,0.44180558684802873,55.5,100.0
dam,easy_s80,vit_base_patch16_clip_224.openai,6,0,layer_0,0.0041452764622409545,5.0,100.0
dam,easy_s80,vit_base_patch16_clip_224.openai,6,1,layer_1,0.004264526728543378,5.0,97.0
dam,easy_s80,vit_base_patch16_clip_224.openai,6,2,layer_2,0.011685380041813043,10.0,52.75
dam,easy_s80,vit_base_patch16_clip_224.openai,6,3,layer_3,0.022585480551770207,7.5,30.5
dam,easy_s80,vit_base_patch16_clip_224.openai,6,4,layer_4,0.046926656827447684,8.0,13.75
dam,easy_s80,vit_base_patch16_clip_224.openai,6,5,layer_9,0.05191352354543745,10.5,93.75
dam,easy_s80,vit_base_patch16_clip_224.openai,6,6,layer_8,0.06284427268347667,4.0,78.0
dam,easy_s80,vit_base_patch16_clip_224.openai,6,7,layer_5,0.08151550115899317,5.0,12.0
dam,easy_s80,vit_base_patch16_clip_224.openai,6,8,layer_7,0.08873193891148354,4.5,32.75
dam,easy_s80,vit_base_patch16_clip_224.openai,6,9,layer_6,0.09995758587000672,2.0,10.0
dam,easy_s80,vit_base_patch16_clip_224.openai,6,10,layer_10,0.11812006553996397,23.0,98.75
dam,easy_s80,vit_base_patch16_clip_224.openai,6,11,layer_11,0.44180558684802873,55.5,100.0
dam,easy_s80,vit_base_patch16_clip_224.openai,8,0,layer_0,0.0041452764622409545,4.5,100.0
dam,easy_s80,vit_base_patch16_clip_224.openai,8,1,layer_1,0.004264526728543378,4.5,96.75
dam,easy_s80,vit_base_patch16_clip_224.openai,8,2,layer_2,0.011685380041813043,8.5,51.75
dam,easy_s80,vit_base_patch16_clip_224.openai,8,3,layer_3,0.022585480551770207,7.0,32.0
dam,easy_s80,vit_base_patch16_clip_224.openai,8,4,layer_4,0.046926656827447684,8.0,14.0
dam,easy_s80,vit_base_patch16_clip_224.openai,8,5,layer_9,0.05191352354543745,10.5,93.75
dam,easy_s80,vit_base_patch16_clip_224.openai,8,6,layer_8,0.06284427268347667,4.0,78.0
dam,easy_s80,vit_base_patch16_clip_224.openai,8,7,layer_5,0.08151550115899317,5.0,12.25
dam,easy_s80,vit_base_patch16_clip_224.openai,8,8,layer_7,0.08873193891148354,4.0,33.0
dam,easy_s80,vit_base_patch16_clip_224.openai,8,9,layer_6,0.09995758587000672,2.0,10.25
dam,easy_s80,vit_base_patch16_clip_224.openai,8,10,layer_10,0.11812006553996397,22.5,98.75
dam,easy_s80,vit_base_patch16_clip_224.openai,8,11,layer_11,0.44180558684802873,55.0,100.0
