setting_name,split_label,split_seed,model_name,pooling,layer,dam_n,dam_beta,dam_alpha,dam_lmbda,dam_steps_multiplier,n_stored,n_probe,decision_noise_std,corruption_mode,noise_std,max_shift,occlusion_frac,neurons,ident_accuracy,gen_accuracy
hard_s40,stored_40_seed_0,0,vit_base_patch16_224,cls,layer_10,2,0.02,0.1,0.05,2,40,80,0.01,noise_shift_occlusion,5.0,2,0.5,768,95.0,52.5
hard_s40,stored_40_seed_0,0,vit_base_patch16_224,cls,layer_11,2,0.02,0.1,0.05,2,40,80,0.01,noise_shift_occlusion,5.0,2,0.5,768,90.0,52.5
hard_s40,stored_40_seed_0,0,vit_base_patch16_224,cls,layer_0,4,0.02,0.1,0.05,2,40,80,0.01,noise_shift_occlusion,5.0,2,0.5,768,7.5,5.0
hard_s40,stored_40_seed_0,0,vit_base_patch16_224,cls,layer_1,4,0.02,0.1,0.05,2,40,80,0.01,noise_shift_occlusion,5.0,2,0.5,768,17.5,7.5
hard_s40,stored_40_seed_0,0,vit_base_patch16_224,cls,layer_2,4,0.02,0.1,0.05,2,40,80,0.01,noise_shift_occlusion,5.0,2,0.5,768,20.0,8.75
hard_s40,stored_40_seed_0,0,vit_base_patch16_224,cls,layer_3,4,0.02,0.1,0.05,2,40,80,0.01,noise_shift_occlusion,5.0,2,0.5,768,22.5,22.5
hard_s40,stored_40_seed_0,0,vit_base_patch16_224,cls,layer_4,4,0.02,0.1,0.05,2,40,80,0.01,noise_shift_occlusion,5.0,2,0.5,768,40.0,18.75
hard_s40,stored_40_seed_0,0,vit_base_patch16_224,cls,layer_5,4,0.02,0.1,0.05,2,40,80,0.01,noise_shift_occlusion,5.0,2,0.5,768,77.5,20.0
hard_s40,stored_40_seed_0,0,vit_base_patch16_224,cls,layer_6,4,0.02,0.1,0.05,2,40,80,0.01,noise_shift_occlusion,5.0,2,0.5,768,92.5,26.25
hard_s40,stored_40_seed_0,0,vit_base_patch16_224,cls,layer_7,4,0.02,0.1,0.05,2,40,80,0.01,noise_shift_occlusion,5.0,2,0.5,768,92.5,28.749999999999996
hard_s40,stored_40_seed_0,0,vit_base_patch16_224,cls,layer_8,4,0.02,0.1,0.05,2,40,80,0.01,noise_shift_occlusion,5.0,2,0.5,768,92.5,38.75
hard_s40,stored_40_seed_0,0,vit_base_patch16_224,cls,layer_9,4,0.02,0.1,0.05,2,40,80,0.01,noise_shift_occlusion,5.0,2,0.5,768,92.5,51.24999999999999
hard_s40,stored_40_seed_0,0,vit_base_patch16_224,cls,layer_10,4,0.02,0.1,0.05,2,40,80,0.01,noise_shift_occlusion,5.0,2,0.5,768,95.0,52.5
hard_s40,stored_40_seed_0,0,vit_base_patch16_224,cls,layer_11,4,0.02,0.1,0.05,2,40,80,0.01,noise_shift_occlusion,5.0,2,0.5,768,92.5,53.75
