model_name,seed,metric,preprocess_mode,task_mode,pooling,n_per_color,run_n_per_color,n_stored_per_color,square_size,ident_noise_std,ident_max_shift,ident_occlusion_frac,ident_decision_noise_std,color_only_jitter_std,layer,ident_accuracy,ident_avg_target_sim,ident_avg_best_wrong_sim,ident_avg_margin,gen_accuracy,gen_avg_target_sim,gen_avg_best_wrong_sim,gen_avg_margin,avg_margin
vit_base_patch16_224,0,cosine,l2_only,mixed_color_position,cls,12,12,2,56,5.0,2,0.5,0.01,0.0,layer_0,0.0,0.9997946470975876,0.9998046706120173,-1.002351442972819e-05,60.0,0.9999916901191076,0.9999900499979655,1.6401211420694986e-06,-4.191696643829345e-06
vit_base_patch16_224,0,cosine,l2_only,mixed_color_position,cls,12,12,2,56,5.0,2,0.5,0.01,0.0,layer_11,0.0,0.9627355883518854,0.9666624466578165,-0.003926858305931091,46.666666666666664,0.9969618101914723,0.9974276105562846,-0.00046580036481221515,-0.002196329335371653
vit_base_patch16_224,0,cosine,l2_only,mixed_color_position,cls,12,12,2,56,5.0,2,0.5,0.01,0.0,layer_6,0.0,0.9693898210922877,0.9729528278112411,-0.0035630067189534507,50.0,0.997958226998647,0.9981152772903442,-0.00015705029169718425,-0.0018600285053253175
vit_base_patch16_224,0,cosine,l2_only,mixed_color_position,cls,12,12,4,56,5.0,2,0.5,0.01,0.0,layer_0,4.166666666666666,0.9997995297114054,0.9998139292001724,-1.4399488766988119e-05,54.166666666666664,0.999992652485768,0.9999926661451658,-1.3659397761027018e-08,-7.206574082374573e-06
vit_base_patch16_224,0,cosine,l2_only,mixed_color_position,cls,12,12,4,56,5.0,2,0.5,0.01,0.0,layer_11,4.166666666666666,0.9634389728307724,0.9690560301144918,-0.00561705728371938,25.0,0.9972171150147915,0.997843058158954,-0.000625943144162496,-0.003121500213940938
vit_base_patch16_224,0,cosine,l2_only,mixed_color_position,cls,12,12,4,56,5.0,2,0.5,0.01,0.0,layer_6,0.0,0.9702334702014923,0.9772174408038458,-0.006983970602353414,27.083333333333332,0.9979972988367081,0.9986363252003988,-0.0006390263636906942,-0.0038114984830220537
vit_base_patch16_224,0,cosine,l2_only,mixed_color_position,cls,12,12,6,56,5.0,2,0.5,0.01,0.0,layer_0,2.7777777777777777,0.9997908969720205,0.9998126725355784,-2.1775563557942707e-05,63.888888888888886,0.9999949567847781,0.9999937862157822,1.1705689960055881e-06,-1.0302497280968559e-05
vit_base_patch16_224,0,cosine,l2_only,mixed_color_position,cls,12,12,6,56,5.0,2,0.5,0.01,0.0,layer_11,2.7777777777777777,0.9622398747338189,0.9674434181716707,-0.0052035434378518,16.666666666666664,0.997025705046124,0.9978443615966373,-0.0008186565505133735,-0.0030110999941825867
vit_base_patch16_224,0,cosine,l2_only,mixed_color_position,cls,12,12,6,56,5.0,2,0.5,0.01,0.0,layer_6,2.7777777777777777,0.9695256600777308,0.9768251048194038,-0.00729944474167294,19.444444444444446,0.99792190723949,0.9986663675970502,-0.0007444603575600518,-0.004021952549616496
vit_base_patch16_224,0,cosine,l2_only,color_only,cls,12,12,2,56,5.0,2,0.5,0.01,8.0,layer_0,0.0,0.9997797658046087,0.9997827112674713,-2.9454628626505532e-06,85.0,1.0000000466903052,0.9999999662240346,8.046627044677735e-08,-1.432498296101888e-06
vit_base_patch16_224,0,cosine,l2_only,color_only,cls,12,12,2,56,5.0,2,0.5,0.01,8.0,layer_11,0.0,0.9641739428043365,0.968058650692304,-0.0038847078879674277,93.33333333333333,0.9998450656731923,0.9995989749828974,0.0002460906902949015,-0.001819308598836263
vit_base_patch16_224,0,cosine,l2_only,color_only,cls,12,12,2,56,5.0,2,0.5,0.01,8.0,layer_6,0.0,0.9712203592061996,0.9735957135756811,-0.0023753543694814048,93.33333333333333,0.9999133348464966,0.999799566467603,0.00011376837889353434,-0.0011307929952939352
vit_base_patch16_224,0,cosine,l2_only,color_only,cls,12,12,4,56,5.0,2,0.5,0.01,8.0,layer_0,4.166666666666666,0.9997852543989817,0.9997884357968966,-3.1813979148864746e-06,91.66666666666666,1.0000000509123008,1.0000000956157844,-4.470348358154297e-08,-1.6130506992340088e-06
vit_base_patch16_224,0,cosine,l2_only,color_only,cls,12,12,4,56,5.0,2,0.5,0.01,8.0,layer_11,4.166666666666666,0.9648513371745745,0.9688363298773766,-0.003984992702802022,83.33333333333334,0.999908364067475,0.9997985934217771,0.00010977064569791158,-0.0019376110285520551
vit_base_patch16_224,0,cosine,l2_only,color_only,cls,12,12,4,56,5.0,2,0.5,0.01,8.0,layer_6,4.166666666666666,0.9715252096454302,0.9740261708696684,-0.0025009612242380777,87.5,0.9999422381321589,0.9998845358689626,5.770226319630941e-05,-0.001221629480520884
vit_base_patch16_224,0,cosine,l2_only,color_only,cls,12,12,6,56,5.0,2,0.5,0.01,8.0,layer_0,2.7777777777777777,0.9997788816690445,0.9997825506660674,-3.668997022840712e-06,83.33333333333334,1.0000000612603293,1.000000125832028,-6.457169850667317e-08,-1.8667843606736926e-06
vit_base_patch16_224,0,cosine,l2_only,color_only,cls,12,12,6,56,5.0,2,0.5,0.01,8.0,layer_11,2.7777777777777777,0.9627405305703481,0.9670881811115477,-0.004347650541199578,83.33333333333334,0.9999232275618447,0.9998865409029855,3.668665885925293e-05,-0.0021554819411701625
vit_base_patch16_224,0,cosine,l2_only,color_only,cls,12,12,6,56,5.0,2,0.5,0.01,8.0,layer_6,2.7777777777777777,0.9703847716252009,0.9734377910693487,-0.0030530194441477456,83.33333333333334,0.9999429798788495,0.9999072866307365,3.569324811299642e-05,-0.0015086630980173745
