category,split_label,split_seed,split_mode,model_name,pooling,layer,anchor_kind,n_stored,n_probe,chance_accuracy,ident_accuracy_baseline,ident_avg_margin_baseline,gen_accuracy_baseline,gen_avg_margin_baseline,gen_avg_retrieved_human_similarity_baseline,gen_avg_human_similarity_regret_baseline,gen_same_concept_accuracy_baseline,human_rdm_spearman_baseline,exact_accuracy_dam,clean_reextract_accuracy_dam,exact_avg_target_sim_dam,clean_reextract_avg_target_sim_dam,ident_accuracy_dam,ident_avg_target_sim_dam,ident_avg_margin_dam,gen_accuracy_dam,gen_avg_target_sim_dam,gen_avg_margin_dam,gen_avg_retrieved_human_similarity_dam,gen_avg_human_similarity_regret_dam,gen_same_concept_accuracy_dam,probe_rdm_spearman_pre,probe_rdm_spearman_post,probe_rdm_spearman_delta,gen_winners_dam,ident_accuracy_delta,gen_accuracy_delta,gen_avg_margin_delta,gen_avg_human_similarity_regret_delta,qualifying_win,dam_stage,dam_n,dam_beta,dam_alpha,dam_lmbda,dam_steps_multiplier
vegetables,fold_0,0,balanced_exemplar_folds,vit_base_patch16_224,cls,layer_11,retrieval,78,39,1.2820512820512822,100.0,0.05725554697549424,43.58974358974359,-0.008016227747013072,0.7215384615384616,0.09846153846153845,79.48717948717949,0.30382727361018574,100.0,100.0,0.9992206204903987,0.9992120536477653,100.0,0.9800924494523718,0.36468550728419213,46.15384615384615,0.5851473180641877,-0.04316909127340537,0.7458974358974358,0.07410256410256409,82.05128205128204,0.27015941273887617,0.4208245139936589,0.15066510125478272,"[0, 2, 20, 7, 8, 11, 13, 15, 17, 19, 20, 22, 24, 26, 28, 27, 33, 35, 36, 39, 66, 42, 16, 47, 49, 50, 53, 54, 57, 59, 60, 1, 65, 67, 27, 73, 73, 74, 77]",0.0,2.564102564102562,-0.0351528635263923,-0.024358974358974356,False,A,2,0.05,0.05,0.0,1
vegetables,fold_0,0,balanced_exemplar_folds,vit_base_patch16_224,cls,layer_11,retrieval,78,39,1.2820512820512822,100.0,0.05725554697549424,43.58974358974359,-0.008016227747013072,0.7215384615384616,0.09846153846153845,79.48717948717949,0.30382727361018574,100.0,100.0,0.9983817413397662,0.9983767017784777,100.0,0.9795961212898602,0.36193565799764066,46.15384615384615,0.5871612722995853,-0.043829786198762995,0.7458974358974358,0.07410256410256409,82.05128205128204,0.27015941273887617,0.42184016569614924,0.15168075295727307,"[0, 2, 20, 7, 8, 11, 13, 15, 17, 19, 20, 22, 24, 26, 28, 27, 33, 35, 36, 39, 66, 42, 16, 47, 49, 50, 53, 54, 57, 59, 60, 1, 65, 67, 27, 73, 73, 74, 77]",0.0,2.564102564102562,-0.035813558451749924,-0.024358974358974356,False,A,2,0.05,0.05,0.0,2
vegetables,fold_0,0,balanced_exemplar_folds,vit_base_patch16_224,cls,layer_11,retrieval,78,39,1.2820512820512822,100.0,0.05725554697549424,43.58974358974359,-0.008016227747013072,0.7215384615384616,0.09846153846153845,79.48717948717949,0.30382727361018574,100.0,100.0,0.999215936166164,0.9992073308617248,100.0,0.9800875837510674,0.364683918585428,46.15384615384615,0.585144604057439,-0.04316909041311588,0.7458974358974358,0.07410256410256409,82.05128205128204,0.27015941273887617,0.4208040460109294,0.15064463327205324,"[0, 2, 20, 7, 8, 11, 13, 15, 17, 19, 20, 22, 24, 26, 28, 27, 33, 35, 36, 39, 66, 42, 16, 47, 49, 50, 53, 54, 57, 59, 60, 1, 65, 67, 27, 73, 73, 74, 77]",0.0,2.564102564102562,-0.03515286266610281,-0.024358974358974356,False,A,2,0.05,0.05,0.05,1
vegetables,fold_0,0,balanced_exemplar_folds,vit_base_patch16_224,cls,layer_11,retrieval,78,39,1.2820512820512822,100.0,0.05725554697549424,43.58974358974359,-0.008016227747013072,0.7215384615384616,0.09846153846153845,79.48717948717949,0.30382727361018574,100.0,100.0,0.9983723297617573,0.9983673154006784,100.0,0.9795867748925536,0.3619325084378086,46.15384615384615,0.5871551413405188,-0.043830557149022495,0.7458974358974358,0.07410256410256409,82.05128205128204,0.27015941273887617,0.42184236449169843,0.15168295175282226,"[0, 2, 20, 7, 8, 11, 13, 15, 17, 19, 20, 22, 24, 26, 28, 27, 33, 35, 36, 39, 66, 42, 16, 47, 49, 50, 53, 54, 57, 59, 60, 1, 65, 67, 27, 73, 73, 74, 77]",0.0,2.564102564102562,-0.035814329402009425,-0.024358974358974356,False,A,2,0.05,0.05,0.05,2
vegetables,fold_0,0,balanced_exemplar_folds,vit_base_patch16_224,cls,layer_11,retrieval,78,39,1.2820512820512822,100.0,0.05725554697549424,43.58974358974359,-0.008016227747013072,0.7215384615384616,0.09846153846153845,79.48717948717949,0.30382727361018574,100.0,100.0,0.9969207847021826,0.9968872311496343,100.0,0.9780209688543118,0.3613950065719419,46.15384615384615,0.586580234670949,-0.043427012364110076,0.7458974358974358,0.07410256410256409,82.05128205128204,0.27015941273887617,0.4188529469939331,0.14869353425505694,"[0, 2, 20, 7, 8, 11, 13, 15, 17, 19, 20, 22, 24, 26, 28, 27, 33, 35, 36, 39, 66, 42, 16, 47, 49, 50, 53, 54, 57, 59, 60, 1, 65, 67, 27, 73, 73, 74, 77]",0.0,2.564102564102562,-0.035410784617097006,-0.024358974358974356,False,A,2,0.05,0.1,0.0,1
vegetables,fold_0,0,balanced_exemplar_folds,vit_base_patch16_224,cls,layer_11,retrieval,78,39,1.2820512820512822,100.0,0.05725554697549424,43.58974358974359,-0.008016227747013072,0.7215384615384616,0.09846153846153845,79.48717948717949,0.30382727361018574,100.0,100.0,0.9936848886916955,0.993671553259684,100.0,0.9755040152720051,0.3553275885986217,46.15384615384615,0.5895300453371098,-0.04465419188067515,0.7458974358974358,0.07410256410256409,82.05128205128204,0.27015941273887617,0.42106773914964063,0.15090832641076446,"[0, 2, 20, 7, 8, 11, 13, 15, 17, 19, 20, 22, 24, 26, 28, 27, 33, 35, 36, 39, 66, 42, 16, 47, 49, 50, 53, 54, 57, 59, 60, 1, 65, 67, 27, 73, 73, 74, 77]",0.0,2.564102564102562,-0.036637964133662076,-0.024358974358974356,False,A,2,0.05,0.1,0.0,2
vegetables,fold_0,0,balanced_exemplar_folds,vit_base_patch16_224,cls,layer_11,retrieval,78,39,1.2820512820512822,100.0,0.05725554697549424,43.58974358974359,-0.008016227747013072,0.7215384615384616,0.09846153846153845,79.48717948717949,0.30382727361018574,100.0,100.0,0.9969022665129784,0.9968685440739569,100.0,0.9780020195442659,0.3613882867895186,46.15384615384615,0.586569126776106,-0.04342653914666932,0.7458974358974358,0.07410256410256409,82.05128205128204,0.27015941273887617,0.41884565702748155,0.14868624428860538,"[0, 2, 20, 7, 8, 11, 13, 15, 17, 19, 20, 22, 24, 26, 28, 27, 33, 35, 36, 39, 66, 42, 16, 47, 49, 50, 53, 54, 57, 59, 60, 1, 65, 67, 27, 73, 73, 74, 77]",0.0,2.564102564102562,-0.03541031139965625,-0.024358974358974356,False,A,2,0.05,0.1,0.05,1
vegetables,fold_0,0,balanced_exemplar_folds,vit_base_patch16_224,cls,layer_11,retrieval,78,39,1.2820512820512822,100.0,0.05725554697549424,43.58974358974359,-0.008016227747013072,0.7215384615384616,0.09846153846153845,79.48717948717949,0.30382727361018574,100.0,100.0,0.9936481818942544,0.9936349849334536,100.0,0.9754676959961506,0.3553147434947736,46.15384615384615,0.589506633229558,-0.0446547134544649,0.7458974358974358,0.07410256410256409,82.05128205128204,0.27015941273887617,0.4210118985969022,0.15085248585802602,"[0, 2, 20, 7, 8, 11, 13, 15, 17, 19, 20, 22, 24, 26, 28, 27, 33, 35, 36, 39, 66, 42, 16, 47, 49, 50, 53, 54, 57, 59, 60, 1, 65, 67, 27, 73, 73, 74, 77]",0.0,2.564102564102562,-0.03663848570745183,-0.024358974358974356,False,A,2,0.05,0.1,0.05,2
vegetables,fold_0,0,balanced_exemplar_folds,vit_base_patch16_224,cls,layer_11,retrieval,78,39,1.2820512820512822,100.0,0.05725554697549424,43.58974358974359,-0.008016227747013072,0.7215384615384616,0.09846153846153845,79.48717948717949,0.30382727361018574,100.0,100.0,0.9994104967579378,0.9994018533345419,100.0,0.980594975557103,0.3622887078199033,46.15384615384615,0.5880870066503715,-0.04345623148758918,0.7458974358974358,0.07410256410256409,82.05128205128204,0.27015941273887617,0.42083075621189575,0.15067134347301958,"[0, 2, 20, 7, 8, 11, 13, 15, 17, 19, 20, 22, 24, 26, 28, 27, 33, 35, 36, 39, 66, 42, 16, 47, 49, 50, 53, 54, 57, 59, 60, 1, 65, 67, 27, 73, 73, 74, 77]",0.0,2.564102564102562,-0.03544000374057611,-0.024358974358974356,False,A,2,0.1,0.05,0.0,1
vegetables,fold_0,0,balanced_exemplar_folds,vit_base_patch16_224,cls,layer_11,retrieval,78,39,1.2820512820512822,100.0,0.05725554697549424,43.58974358974359,-0.008016227747013072,0.7215384615384616,0.09846153846153845,79.48717948717949,0.30382727361018574,100.0,100.0,0.9986145052324462,0.9985997266908593,100.0,0.9804063199521701,0.35703276720278493,46.15384615384615,0.5927972602463706,-0.04441556913168135,0.7458974358974358,0.07410256410256409,82.05128205128204,0.27015941273887617,0.42207779794264694,0.15191838520377077,"[0, 2, 20, 7, 8, 11, 13, 15, 17, 19, 20, 22, 24, 26, 28, 27, 33, 35, 36, 39, 66, 42, 16, 47, 49, 50, 53, 54, 57, 59, 60, 1, 65, 67, 27, 73, 73, 74, 77]",0.0,2.564102564102562,-0.03639934138466828,-0.024358974358974356,False,A,2,0.1,0.05,0.0,2
