scale_c,n,K,ident_accuracy,gen_accuracy,diff_ident_minus_gen,tradeoff_label
1.0,2,5,26.666666666666668,34.66666666666667,-8.000000000000004,Balanced
1.0,2,10,30.0,22.666666666666664,7.333333333333336,Balanced
1.0,2,20,15.0,6.666666666666667,8.333333333333332,Balanced
1.0,2,30,11.11111111111111,9.333333333333334,1.7777777777777768,Balanced
1.1047619047619048,2,5,46.666666666666664,26.0,20.666666666666664,Ident+
1.1047619047619048,2,10,26.666666666666668,13.333333333333334,13.333333333333334,Ident+
1.1047619047619048,2,20,16.666666666666664,16.666666666666664,0.0,Balanced
1.1047619047619048,2,30,16.666666666666664,8.666666666666668,7.9999999999999964,Balanced
1.2095238095238094,2,5,53.333333333333336,31.333333333333336,22.0,Ident+
1.2095238095238094,2,10,20.0,12.0,8.0,Balanced
1.2095238095238094,2,20,16.666666666666664,10.0,6.666666666666664,Balanced
1.2095238095238094,2,30,13.333333333333334,10.0,3.333333333333334,Balanced
1.3142857142857143,2,5,66.66666666666666,33.33333333333333,33.33333333333333,Ident+
1.3142857142857143,2,10,33.33333333333333,21.333333333333336,11.999999999999993,Ident+
1.3142857142857143,2,20,21.666666666666668,14.666666666666666,7.000000000000002,Balanced
1.3142857142857143,2,30,16.666666666666664,7.333333333333333,9.333333333333332,Balanced
1.4190476190476191,2,5,80.0,30.0,50.0,Ident+
1.4190476190476191,2,10,20.0,14.666666666666666,5.333333333333334,Balanced
1.4190476190476191,2,20,15.0,13.333333333333334,1.666666666666666,Balanced
1.4190476190476191,2,30,15.555555555555555,8.0,7.555555555555555,Balanced
1.5238095238095237,2,5,73.33333333333333,30.0,43.33333333333333,Ident+
1.5238095238095237,2,10,30.0,10.666666666666668,19.333333333333332,Ident+
1.5238095238095237,2,20,16.666666666666664,8.666666666666668,7.9999999999999964,Balanced
1.5238095238095237,2,30,11.11111111111111,12.0,-0.8888888888888893,Balanced
1.6285714285714286,2,5,53.333333333333336,31.333333333333336,22.0,Ident+
1.6285714285714286,2,10,40.0,18.0,22.0,Ident+
1.6285714285714286,2,20,15.0,5.333333333333334,9.666666666666666,Balanced
1.6285714285714286,2,30,22.22222222222222,8.666666666666668,13.555555555555554,Ident+
1.7333333333333334,2,5,53.333333333333336,33.33333333333333,20.000000000000007,Ident+
1.7333333333333334,2,10,43.333333333333336,16.666666666666664,26.66666666666667,Ident+
1.7333333333333334,2,20,20.0,14.666666666666666,5.333333333333334,Balanced
1.7333333333333334,2,30,14.444444444444443,4.0,10.444444444444443,Ident+
1.8380952380952382,2,5,73.33333333333333,28.666666666666668,44.66666666666666,Ident+
1.8380952380952382,2,10,26.666666666666668,18.0,8.666666666666668,Balanced
1.8380952380952382,2,20,16.666666666666664,20.0,-3.3333333333333357,Balanced
1.8380952380952382,2,30,16.666666666666664,4.666666666666667,11.999999999999996,Ident+
1.9428571428571428,2,5,73.33333333333333,22.0,51.33333333333333,Ident+
1.9428571428571428,2,10,30.0,20.0,10.0,Balanced
1.9428571428571428,2,20,31.666666666666664,10.0,21.666666666666664,Ident+
1.9428571428571428,2,30,21.11111111111111,5.333333333333334,15.777777777777777,Ident+
2.0476190476190474,2,5,73.33333333333333,36.666666666666664,36.666666666666664,Ident+
2.0476190476190474,2,10,36.666666666666664,12.666666666666668,23.999999999999996,Ident+
2.0476190476190474,2,20,21.666666666666668,10.0,11.666666666666668,Ident+
2.0476190476190474,2,30,18.88888888888889,6.666666666666667,12.222222222222221,Ident+
2.1523809523809527,2,5,66.66666666666666,33.33333333333333,33.33333333333333,Ident+
2.1523809523809527,2,10,43.333333333333336,12.0,31.333333333333336,Ident+
2.1523809523809527,2,20,21.666666666666668,6.666666666666667,15.0,Ident+
2.1523809523809527,2,30,16.666666666666664,9.333333333333334,7.33333333333333,Balanced
2.257142857142857,2,5,86.66666666666667,34.0,52.66666666666667,Ident+
2.257142857142857,2,10,33.33333333333333,10.666666666666668,22.66666666666666,Ident+
2.257142857142857,2,20,25.0,13.333333333333334,11.666666666666666,Ident+
2.257142857142857,2,30,15.555555555555555,8.666666666666668,6.8888888888888875,Balanced
2.361904761904762,2,5,60.0,34.0,26.0,Ident+
2.361904761904762,2,10,46.666666666666664,8.0,38.666666666666664,Ident+
2.361904761904762,2,20,11.666666666666666,10.666666666666668,0.9999999999999982,Balanced
2.361904761904762,2,30,13.333333333333334,5.333333333333334,8.0,Balanced
2.466666666666667,2,5,26.666666666666668,18.666666666666668,8.0,Balanced
2.466666666666667,2,10,50.0,13.333333333333334,36.666666666666664,Ident+
2.466666666666667,2,20,18.333333333333332,5.333333333333334,12.999999999999998,Ident+
2.466666666666667,2,30,15.555555555555555,9.333333333333334,6.222222222222221,Balanced
2.571428571428571,2,5,80.0,32.666666666666664,47.333333333333336,Ident+
2.571428571428571,2,10,43.333333333333336,19.333333333333332,24.000000000000004,Ident+
2.571428571428571,2,20,23.333333333333332,14.666666666666666,8.666666666666666,Balanced
2.571428571428571,2,30,14.444444444444443,6.666666666666667,7.777777777777776,Balanced
2.6761904761904765,2,5,80.0,29.333333333333332,50.66666666666667,Ident+
2.6761904761904765,2,10,40.0,14.666666666666666,25.333333333333336,Ident+
2.6761904761904765,2,20,26.666666666666668,14.000000000000002,12.666666666666666,Ident+
2.6761904761904765,2,30,15.555555555555555,6.666666666666667,8.88888888888889,Balanced
2.780952380952381,2,5,60.0,28.666666666666668,31.333333333333332,Ident+
2.780952380952381,2,10,20.0,14.000000000000002,5.999999999999998,Balanced
2.780952380952381,2,20,30.0,8.666666666666668,21.333333333333332,Ident+
2.780952380952381,2,30,15.555555555555555,6.666666666666667,8.88888888888889,Balanced
2.8857142857142857,2,5,80.0,22.666666666666664,57.333333333333336,Ident+
2.8857142857142857,2,10,30.0,14.000000000000002,15.999999999999998,Ident+
2.8857142857142857,2,20,18.333333333333332,10.666666666666668,7.666666666666664,Balanced
2.8857142857142857,2,30,22.22222222222222,10.0,12.222222222222221,Ident+
2.9904761904761905,2,5,66.66666666666666,28.666666666666668,37.999999999999986,Ident+
2.9904761904761905,2,10,20.0,16.666666666666664,3.3333333333333357,Balanced
2.9904761904761905,2,20,15.0,7.333333333333333,7.666666666666667,Balanced
2.9904761904761905,2,30,12.222222222222221,4.0,8.222222222222221,Balanced
3.0952380952380953,2,5,80.0,31.333333333333336,48.666666666666664,Ident+
3.0952380952380953,2,10,30.0,14.666666666666666,15.333333333333334,Ident+
